Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
من طق الباب لقى الجواب,لكل فعل ردة فعل مساوة له بالمقدار و معاكسة له بالاتجاه,Central,"المهمة: حدد المدينة التي يُستخدم فيها هذا المثل بشكل شائع.
السؤال: في أي مدينة سعودية يستخدم المثل 'من طق الباب لقى الجواب' أكثر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الطائف",أ
مين خرج من داره قل مقداره,إلي يمشي من عند ناسوا، يقل قدره,Western,"المهمة: حدد المنطقة الأكثر شيوعًا لاستخدام المثل: 'مين خرج من داره قل مقداره'.
السؤال: في أي منطقة سعودية يُستخدم المثل 'مين خرج من داره قل مقداره' بشكل أكبر؟
الخيارات:
أ) مكة المكرمة
ب) الرياض
ج) جدة
د) المدينة المنورة",أ
مين شايفك ياللي في الضلام تغمز,مثل يقال عند رؤية شخص يفعل فعلا على غير فائدة,Western,"المهمة: حدد المنطقة الأكثر شيوعًا لاستخدام المثل.
السؤال: أين يُستخدم المثل 'مين شايفك ياللي في الضلام تغمز' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
نظرةٌ إلى ميسرة,يقال عند تأجيل الامور الى وقت غير معلوم .يعني لمن ربنا يحلها,Central,"المهمة: حدد المنطقة التي يرتبط بها هذا المصطلح.
السؤال: أين يتم استخدام عبارة 'نظرةٌ إلى ميسرة' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الأحساء
د) القصيم",أ
ننقر نقر الغراب، ومالنا كون التراب,يعني صلاتنا سريعة ولا لنا منها غير التراب لان الصلاة غير مقبولة وبدون خشوع,General,"المهمة: حدد المنطقة التي يُستخدم فيها هذا المثل بشكل أكبر.
السؤال: في أي منطقة سعودية يُستخدم هذا المثل 'ننقر نقر الغراب، ومالنا كون التراب ' بشكل شائع؟
الخيارات:
أ) البحرين
ب) قطر
ج) السعودية
د) الكويت",ج
ولد حاره يفهم بالإشاره,بالفصحى =ابن حي شعبي يفهم بالاشاره بمعنى انه ابناء الاحياء الشعبيه بمجرد الاشاره للشيء يفهمه,Western,"المهمة: حدد المكان الأكثر شيوعاً لاستخدام العبارة.
السؤال: أين يُستخدم المصطلح 'ولد حاره يفهم بالإشاره' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
يا اطخو يا اكسر مخو,مثل يقولو لما الواحد ما يكون عندو حل وسط يعني يخربها يخربها,Western,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: في أي منطقة من السعودية يُستخدم المثل ""يا اطخو يا اكسر مخو"" بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام",ب
يا حبا يا دبا,يطلق هذا المثل ع الي ماعنده حل وسط في حياته,Central,"المهمة: في أي منطقة سعودية يُستخدم المثل 'يا حبا يا دبا' بشكل شائع؟
السؤال: أين يُستخدم هذا المثل عادةً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الأحساء",أ
يا شين السرج على البقر,يا شين السرج على البقر : يطلق على من تلبّس بلباس هو ليس بكفء له، فالسرج للخيل زينة وأبهة، أما على البقر فقبيح لا حاجة له.,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: في أي منطقة سعودية يُستخدم المثل ""يا شين السرج على البقر"" بشكل شائع؟
أ) السعودية
ب) الكويت
ج) الإمارات 
د) قطر",A
يا غزال بالقماري وين غزالك بالنهاري,يقال حين يفعل المرء شيئاً في غير وقته,Central,"المهمة: حدد أين يمكن استخدام هذه العبارة بشكل أكثر شيوعاً.
السؤال: أي منطقة سعودية يُستخدم فيها مثل 'يا غزال بالقماري وين غزالك بالنهاري' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
يا قلبي يا كتكت ياما تشوف و تسكت.,أن ترى أشياء كثيرة و تحفظها كسر أو تتغاضى عنها.,Western,"المهمة: تحديد المنطقة الأكثر استخدامًا للعبارة.
السؤال: في أي منطقة سعودية تُستخدم العبارة 'يا قلبي يا كتكت ياما تشوف و تسكت' بشكل أكثر شيوعًا؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة",أ
يا ما حبى يا ما برك,يعني اما ابيض والا اسود. مافيه حل وسط حبى تعني الحبو ، حبو الطفل برك تعني كما تبرك الناقة عند جلوسها,Central,"المهمة: حدد المكان الذي يُستخدم فيه هذا التعبير بشكل أكثر شيوعاً.
السؤال: في أي مدينة سعودية يُستخدم مصطلح 'يا ما حبى يا ما برك' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) مكة
د) الدمام",أ
يا من شراله من حلاله علّة,مثل شعبي يقال لمن يشتري شيء بماله ويسبب له هذا الشيء المتاعب.,General,"المهمة: حدد أين يُستخدم هذا المثل بشكل شائع.
السؤال: في أي دولة يُستخدم المثل 'يا من شراله من حلاله علّة' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
ياطخو يا اكسر مخو,يطلق هذا المثل على الشي الي يعني مافي حل وسط,Western,"المهمة: حدد المنطقة الأكثر استخدامًا لهذا المثل.
السؤال: في أي منطقة سعودية يستخدم المثل 'ياطخو يا اكسر مخو' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
يعرج العبد من برطمه,حينما يبحث الشخص عن حجة لا تناسب الموضوع,Central,"المهمة: حدد الموقع الأكثر شيوعًا لاستخدام المثل.
السؤال: في أي منطقة تُستخدم عبارة 'يعرج العبد من برطمه' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) مكة
د) الدمام",أ
اللقمة في الفاقة أحسن من الناقة,الشيء القليل في وقته المناسب أفضل من الكثير في غير وقته.,General,"المهمة: حدد أين يُستخدم هذا المثل بشكل شائع.
السؤال: في أي دولة يُستخدم المثل 'اللقمة في الفاقة أحسن من الناقة' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
