Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
لا تسنِّد للبعير، ولا تنحّي للحنش,(عند أهل السراة): الأولى: أي إذا لحقك البعير (الجمل) غاضباً لا تسنّد له مرتفع لأن الجمل سيستطيع اللحاق بك بعكس لو هبطت به منخفض سيتردى على وجهه لو أسرع ورائك. والثانية: ولا تنحي للحنش أي إذا لحق بك ثعبان لا تهبط به منخفض لأنه سينطلق عليك بسرعه هائلة ويدركك، بل أهرب منه صاعداً لأن الصعود يرهقه فلا يستطيع اللحاق بك.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي الجمل التالية تُستخدم فيها عبارة ""لا تسنِّد للبعير، ولا تنحّي للحنش"" بشكل صحيح؟
A) كان خالد يتسلق الجبل فحذره صديقه قائلاً: ""لا تسنِّد للبعير، ولا تنحّي للحنش، فقد تسقط!""
B) نصح الأب ابنه عند التعامل مع المشكلات قائلاً: ""لا تسنِّد للبعير، ولا تنحّي للحنش، فالحكمة ضرورية!""
C) حين رأى سالم ثعبانًا يلاحقه، تذكر قول جده: ""لا تسنِّد للبعير، ولا تنحّي للحنش"" فصعد المرتفع بسرعة.
D) قال المعلم لطلابه: ""لا تسنِّد للبعير، ولا تنحّي للحنش، فالعمل الجماعي أفضل دائمًا."") حين رأى سالم ثعبانًا يلاحقه، تذكر قول جده: ""لا تسنِّد للبعير، ولا تنحّي للحنش"" فصعد المرتفع بسرعة.",C
لبس له جلد النمره,تهیاوا للهجوم له و اعدوا للحرب له و تعصبوا لذلک,Central,"المهمة: في أي سياق يُفضل استخدام العبارة؟
السؤال: متى يمكن استخدام عبارة 'لبس له جلد النمره'؟
الخيارات:
أ) عندما يكون هناك احتفال
ب) عند الاستعداد لمواجهة صعبة
ج) في سياق السخرية
د) عند الحديث عن الطعام",ب
لما فرقوا الذوق كان جالس فوق,تقال على الشخص عديم الذوق ومعناه أنه لم يأخذ نصيبه من الذوق عندما أخذ الكل نصيبهم لأنه كان غائبا,Western,"المهمة: اختر الجملة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم العبارة 'لما فرقوا الذوق كان جالس فوق' بشكل صحيح؟
الخيارات:
أ) كان المعلم يشرح الدرس يوم السبت.
ب) صديقتي لم تأتي للحفلة، لذا لم نشعر بجو السعادة.
ج) دائماً يتحدثون عني وأنا جالس عندهم.
د) لما فرقوا الذوق كان جالس فوق وحسرتي على غيابه.",د
ما تطيح السقيفة إلا على الضعيفة,يعني لا يتحمل المصائب إلا الضعفاء وينجوا منها الأقوياء وأصحاب النفوذ,Central,"المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي موقف قد نقول 'ما تطيح السقيفة إلا على الضعيفة'؟
الخيارات:
أ) عند الحديث عن الفشل في العمل
ب) عند النجاح في الامتحان
ج) عند تقديم المساعدة
د) عند تعرض شخص قوي لموقف صعب",أ
ما دون الحلدز إلا اليدين,هذا المثل يقال إذا بلغ السيل الزبى، وإذا انتهت كل السبل في محاولة تجنبك لهذا الأمر، فإذا لم يكن هناك طريق إلا هذا الطريق ولو كان خطأً أو خطرًا فاسلكه. فما دون الحلدز إلا اليدين.,General,"المهمة: اختر الجملة التي تستخدم المثل 'ما دون الحلدز إلا اليدين' بشكل صحيح.
السؤال: أي من الجمل التالية تعبر عن استخدام المثل بشكل صحيح؟
الخيارات:
أ) كان هناك الكثير من الحلول، لكنه اختار الأسلم.
ب) بعد فشل كل الخيارات، كان عليه أن يسلك الطريق الذي يبدو خطيراً.
ج) كان الأصدقاء يتشاركون الأفكار الجيدة.
د) كان على البائع أن ينتظر حتى يأتي الزبون.",ب
ما في شي ببلاش غير العمى والطراش,المثل واضح ما يحتاجلو شرح . هو بس انو كل شي صاير بفلوس وما في حاجة ببلاش,Western,"المهمة: اختر الجملة المناسبة التي تعبر عن استخدام المثل.
السؤال: في أي من الجمل التالية يمكن استخدام المثل 'ما في شي ببلاش غير العمى والطراش'؟
الخيارات:
أ) اشتريت كل شيء بمبلغ كبير.
ب) وجدت شيئاً نادراً في السوق.
ج) لا أصدق أنه أعطاني هذا مجاناً.
د) تكلمت مع صديقي عن حاجته للمال.",ج
ما فيها غير صوير وعوير واللي ما فيه خير,عندما تكون كل الخيارات سيئة,General,"المهمة: اختر الجملة المناسبة التي يمكن استخدامها مع هذا المثل.
السؤال: أي من الجمل التالية يعبر عن نفس المعنى لجملة 'ما فيها غير صوير وعوير واللي ما فيه خير'؟
الخيارات:
أ) الخيارات كلها ممتازة
ب) الخيارات ليست جيدة
ج) يوجد الكثير من الاختيارات
د) الوضع أفضل الآن",ب
ما ورى بيشة عيشة,مثل يقال لمن لا تتنظر منه شي ينفع. اذا كان طلبك او حاجتك عند شخص او شيء لا تتوقع منه ان يجيب لك نتيجة، تقول ما ورى بيشة عيشة.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي الجمل التالية تُستخدم فيها عبارة ""ما ورى بيشة عيشة"" بشكل صحيح؟
A) حاول علي إقناع زميله بمساعدته، لكنه رفض، فقال: ""ما ورى بيشة عيشة.""
B) انتقل خالد إلى بيشة للعمل في التجارة، ففرح قائلاً: ""ما ورى بيشة عيشة!""
C) قال المعلم لطلابه: ""ما ورى بيشة عيشة، لذا عليكم الاجتهاد في دراستكم!""
D) اشترت سارة منزلاً جديداً في بيشة، فكتبت في مذكراتها: ""ما ورى بيشة عيشة."") حاول علي إقناع زميله بمساعدته، لكنه رفض، فقال: ""ما ورى بيشة عيشة.""",A
ما يعرف راصو من ساسو,لا يعرف رأسه من قدميه.,Central,"المهمة: اختر الجملة التي يمكن استخدامها فيها المثل بشكل صحيح.
السؤال: أي جملة تستخدم فيها 'ما يعرف راصو من ساسو'؟
الخيارات:
أ) عندما يتحدث شخص عن تفاصيل عمله.
ب) عندما يواجه شخص موقفاً معقداً.
ج) عندما يناقش شخص آخر علم الفلك.
د) عند عدم معرفة شخص بمكانه.",ب
ماتلقى الغنج الا عند الحمير العرج,مثال جميل يقال عند رؤية شخص يتدلع و يتغنج و هوا غير أهل لهذا الفعل,Western,"المهمة: حدد السياق المناسب لاستخدام المثل.
السؤال: في أي سياق يمكن قول 'ماتلقى الغنج الا عند الحمير العرج'؟
الخيارات:
أ) عند رؤية شخص مغرور
ب) عند مشاهدة شخص يتدلل
ج) عند الإحتفال
د) عند الفشل في امتحان",ب
ماخص من قديد الا عسفان,ترجمتها بالفصحى ليس اسوأ من ( قديد ) سوى ( عسان ) و(قديد) و(عسفان) هي اسماء قرى في الحجاز شمال مكة المكرمة ب كيلو تقريبا . ويضرب هذا المثل لوصف شيئين كلاهما اسوأ من الاخر . ولا اعلم تحديدا سبب التسمية .,Western,"المهمة: اختر الجملة التي تُظهر الاستخدام الصحيح للمثل.
السؤال: أي من الجمل التالية تستخدم المثل 'ما خص من قديد الا عسفان' بشكل صحيح؟
الخيارات:
أ) الجو اليوم جميل جداً.
ب) أختار بين السيارتين الجديدتين، بس جودتهن مثل 'ما خص من قديد الا عسفان'.
ج) الأكل في المطعم كان لذيذاً.
د) كانت الأمسية ممتعة.",ب
مد رجولك على قد لحافك,اكتفي بما عندك أو لا تتوهم شيئا فوق استطاعتك.,Central,"المهمة: اختر السياق المناسب للاستخدام.
السؤال: في أي موقف يمكن استخدام التعبير 'مد رجولك على قد لحافك'؟
الخيارات:
أ) عند الحديث عن خطط السفر
ب) عند المناقشة حول الميزانية الشخصية
ج) عند الاستعداد للامتحانات
د) عند تنظيم حفلة كبيرة",ب
من جرف لدحديرة، يا قلبي لا تحزن,يخرج من مصيبة ليدخل في مصيبة أخرى.,Western,"المهمة: اختر السياق المناسب للمثل.
السؤال: في أي موقف يمكن استخدام المثل 'من جرف لدحديرة، يا قلبي لا تحزن'؟
الخيارات:
أ) عند فقدان وظيفة.
ب) عند تلقي خبر جيد.
ج) عند الحديث عن النجاح.
د) عند البدء في مشروع جديد.",أ
من طق الباب لقى الجواب,لكل فعل ردة فعل مساوة له بالمقدار و معاكسة له بالاتجاه,Central,"المهمة: اختر السياق المناسب لاستخدام المثل.
السؤال: في أي حالة من الممكن استخدام المثل 'من طق الباب لقى الجواب'؟
الخيارات:
أ) عندما يتحدث شخص عن الدعم المالي
ب) عندما يستعد شخص لمقابلة عمل
ج) عند محاولة حل مشكلة على مستوى الأسرة
د) عند التحدث عن فوائد الرياضة",ج
مين خرج من داره قل مقداره,إلي يمشي من عند ناسوا، يقل قدره,Western,"المهمة: أين يمكن استخدام المثل: 'مين خرج من داره قل مقداره'؟
السؤال: في أي موقف يمكن استخدام المثل 'مين خرج من داره قل مقداره'؟
الخيارات:
أ) عند الحديث عن أهمية الصداقة
ب) عند فعل الخير
ج) عند الانتقال إلى مدينة جديدة
د) عند مناقشة أهمية العائلة",ج
مين شايفك ياللي في الضلام تغمز,مثل يقال عند رؤية شخص يفعل فعلا على غير فائدة,Western,"المهمة: اختر السياق الصحيح لاستخدام المثل.
السؤال: في أي سياق يُستخدم المثل 'مين شايفك ياللي في الضلام تغمز'؟
الخيارات:
أ) عند توجيه نصيحة لأحد
ب) عند الإشارة إلى شخص لا يفيد مجتمعه
ج) عند التهاني في مناسبة
د) عند الحديث عن النجاح",ب
نظرةٌ إلى ميسرة,يقال عند تأجيل الامور الى وقت غير معلوم .يعني لمن ربنا يحلها,Central,"المهمة: اختر الجملة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لعبارة 'نظرةٌ إلى ميسرة'؟
الخيارات:
أ) أحاول دائماً أن أكون واضحاً في قراراتي، لكن في بعض الأحيان أحتاج إلى نظرةٌ إلى ميسرة.
ب) قررت بسرعة دون نظرةٌ إلى ميسرة.
ج) أفضل الجلوس مع الأصدقاء بدلاً من استخدام نظرةٌ إلى ميسرة.
د) سوف أطبق نظرةٌ إلى ميسرة على مشروعي.",أ
ننقر نقر الغراب، ومالنا كون التراب,يعني صلاتنا سريعة ولا لنا منها غير التراب لان الصلاة غير مقبولة وبدون خشوع,General,"المهمة: اختر الجملة التي تستخدم بشكل صحيح العبارة 'ننقر نقر الغراب'.
السؤال: في أي سياق يمكنك استخدام العبارة 'ننقر نقر الغراب'؟
الخيارات:
أ) عندما نتحدث عن الصلاة
ب) عندما نتحدث عن الرحلات
ج) عندما نتحدث عن الطعام
د) عندما نتحدث عن السفر",أ
ولد حاره يفهم بالإشاره,بالفصحى =ابن حي شعبي يفهم بالاشاره بمعنى انه ابناء الاحياء الشعبيه بمجرد الاشاره للشيء يفهمه,Western,"المهمة: اختر الجملة التي تستخدم العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح للعبارة 'ولد حاره يفهم بالإشاره'؟
الخيارات:
أ) أخي في المدرسة له ولد حاره يفهم بالإشاره.
ب) جاء الولد ليلعب مع أصدقائه بعد المدرسة.
ج) ولد حاره يفهم بالإشاره في سوق الحارة.
د) الجملة غير صحيحة.",ج
يا اطخو يا اكسر مخو,مثل يقولو لما الواحد ما يكون عندو حل وسط يعني يخربها يخربها,Western,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: أي من المواقف التالية يعكس معنى المثل ""يا اطخو يا اكسر مخو"" في الثقافة الحجازية؟
الخيارات:
A) شخص إما أن يدرس 10 ساعات متواصلة أو لا يفتح الكتاب أبدًا.
B) شخص يخصص وقتًا ثابتًا يوميًا للدراسة والمراجعة.
C) شخص يتناقش مع زملائه للوصول إلى حل وسط.
D) شخص يوازن بين الترفيه والعمل بطريقة منظمة.",A
يا حبا يا دبا,يطلق هذا المثل ع الي ماعنده حل وسط في حياته,Central,"المهمة: في أي سياق يمكن استخدام المثل 'يا حبا يا دبا'؟
السؤال: متى يُفضل قول هذا المثل؟
الخيارات:
أ) عندما ينصح شخص ببعض الخيارات
ب) عندما يتحدث شخص عن المشكلة
ج) عندما يواجه شخص موقفًا صعبًا
د) عندما يتعامل شخص مع الحب",ج
يا شين السرج على البقر,يا شين السرج على البقر : يطلق على من تلبّس بلباس هو ليس بكفء له، فالسرج للخيل زينة وأبهة، أما على البقر فقبيح لا حاجة له.,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: أي الجمل التالية تُستخدم فيها عبارة ""يا شين السرج على البقر"" بشكل صحيح؟
A) دخل فهد إلى الاجتماع بملابس رسمية أنيقة تناسب مكانته، فقال زملاؤه: ""يا شين السرج على البقر.""
B) قرر سالم شراء بدلة رسمية لحضور حفل راقٍ، لكنه لم يكن يبدو مرتاحًا فيها، فقال أحدهم: ""يا شين السرج على البقر.""
C) ارتدت الطالبة زي مدرستها الرسمي وحصلت على الثناء من معلمتها التي قالت: ""يا شين السرج على البقر.""
D) اشترى أحمد حصانًا أصيلًا وزينه بسرج فخم، فعلق صديقه قائلاً: ""يا شين السرج على البقر."") قرر سالم شراء بدلة رسمية لحضور حفل راقٍ، لكنه لم يكن يبدو مرتاحًا فيها، فقال أحدهم: ""يا شين السرج على البقر.""",B
يا غزال بالقماري وين غزالك بالنهاري,يقال حين يفعل المرء شيئاً في غير وقته,Central,"المهمة: اختر السياق الصحيح لاستخدام العبارة.
السؤال: في أي سياق يمكن استخدام 'يا غزال بالقماري وين غزالك بالنهاري'؟
الخيارات:
أ) أثناء العزاء
ب) في حفل زفاف
ج) عند التعجب من تصرفات شخص
د) أثناء النقاش حول الأوقات المناسبة للفعل",د
يا قلبي يا كتكت ياما تشوف و تسكت.,أن ترى أشياء كثيرة و تحفظها كسر أو تتغاضى عنها.,Western,"المهمة: اختيار السياق المناسب لاستخدام العبارة.
السؤال: في أي موقف يمكن استخدام عبارة 'يا قلبي يا كتكت ياما تشوف و تسكت'؟
الخيارات:
أ) أثناء الحديث عن الحب
ب) أثناء مناقشة المشاكل
ج) عند تناول الطعام
د) عند مشاهدة منظر جميل",ب
يا ما حبى يا ما برك,يعني اما ابيض والا اسود. مافيه حل وسط حبى تعني الحبو ، حبو الطفل برك تعني كما تبرك الناقة عند جلوسها,Central,"المهمة: اختر الجملة التي تستخدم 'يا ما حبى يا ما برك' في سياق صحيح.
السؤال: في أي من الحالات التالية يمكن استخدام 'يا ما حبى يا ما برك'؟
الخيارات:
أ) عندما تتحدث عن الخيارات المتعددة
ب) عندما يتوجب عليك اتخاذ قرار صعب
ج) عندما تتحدث عن الطقس
د) عندما تشرح مفهوم الحب",ب
يا من شراله من حلاله علّة,مثل شعبي يقال لمن يشتري شيء بماله ويسبب له هذا الشيء المتاعب.,General,"المهمة: اختر الجملة التي يمكن استخدام المثل فيها.
السؤال: أي من الجمل التالية يمكن استخدام المثل 'يا من شراله من حلاله علّة' فيها؟
الخيارات:
أ) كان عندي مبلغ كبير وقررت أشتري لابتوب لكن واجهت مشاكل فيه
ب) اشتريت سيارة جديدة وكنت سعيداً بها
ج) أراهن أنك ستربح في المسابقة
د) أحب الموضة وأشتري الكثير من الملابس",أ
ياطخو يا اكسر مخو,يطلق هذا المثل على الشي الي يعني مافي حل وسط,Western,"المهمة: حدد الاستخدام المناسب لهذا المثل في سياق معين.
السؤال: في أي موقف يمكنك استخدام المثل 'ياطخو يا اكسر مخو'؟
الخيارات:
أ) عند اتخاذ قرار مصيري
ب) عندما تفكر في شراء شيء
ج) عند التحدث مع صديق
د) عند التفاوض على شيء",أ
يعرج العبد من برطمه,حينما يبحث الشخص عن حجة لا تناسب الموضوع,Central,"المهمة: اختر السياق الأنسب الذي يمكن استخدام المثل فيه.
السؤال: في أي موقف يمكن أن نقول 'يعرج العبد من برطمه'؟
الخيارات:
A) عندما يطلب أحدهم المساعدة في عمل صعب
B) عندما يبالغ شخص في التعبير عن فرحته
C) عندما يحاول شخص التهرب من المسؤولية بحجة غير منطقية
D) عندما يُكافأ شخص على عمله المتقن) عندما يحاول شخص التهرب من المسؤولية بحجة غير منطقية",C
اللقمة في الفاقة أحسن من الناقة,الشيء القليل في وقته المناسب أفضل من الكثير في غير وقته.,General,"المهمة: اختر الاستخدام الصحيح للمثل في سياق مناسب.
السؤال: أي جملة تستخدم مثل (اللقمة في الفاقة أحسن من الناقة) استخدامًا صحيحًا؟
الخيارات:
أ) وصلتني مساعدة بسيطة وقت ضيقي، فعلًا اللقمة في الفاقة أحسن من الناقة
ب) اشتريت سيارة جديدة وقلت اللقمة في الفاقة أحسن من الناقة
ج) سافرت سياحة وقلت اللقمة في الفاقة أحسن من الناقة
د) أكلت كثير وقلت اللقمة في الفاقة أحسن من الناقة",أ
