Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
تفيت,تفيتها؛بمعنى سرقتها او اخذتها بدون علم احد,Western,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: هو __________ من البقالة عصير.
الخيارات:
أ) تفيت
ب) اشترى
ج) رَدَّ
د) ترك",أ
تِقال,تُقال عند التمثيل,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تُستخدم كلمة 'تِقال' بشكل شائع في سياق __________.
الخيارات:
أ) الغناء
ب) التمثيل
ج) الطبخ
د) الرياضة",ب
تقانه,تَقَانَة ، مُتقْنَن التقانة صفة تطلق على الشيء الدقيق او التقنية التي وُظفت فيها المعرفة او الصناعة بطريقة مُثلى.,General,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: يُستخدم مصطلح 'تقانه' لوصف __________ فني أو تقني.
الخيارات:
أ) عمل
ب) تقليد
ج) خطأ
د) سلبية",أ
تكتيك المظلوميه,هو اسلوب من اساليب التلاعب النفسي وهو عندما يتظاهر الشخص بالمظلومية او بالضرر الحاصل له بسبب طرفٍ ما ، وذلك ليبرر لنفسه استحقاق مميزات او حق القيام بعدوان ضد الآخرين او طلب تمييز ايجابي كتعويض عادل.,General,"المهمة: أكمل الجملة التالية.
السؤال: تستخدم 'تكتيك المظلوميه' من قبل الأشخاص _____ للحصول على مزايا.
الخيارات:
أ) المسؤولين
ب) المدعين
ج) المتلاعبين
د) الشرفاء",ج
تٍكَرْفَس,"- فعل بمعنى ""تعثر"" ويصف ضرب القدمين أو إحداهما لشيء ما أثناء المشي والسقوط على الأرض بعدها بشكل مزري. - يقولها أهل نجد وبالذات أهل القصيم. - قد تضاف (على وجهي) بعدها احياناً.",Western,"المهمة: إكمال الجملة باستخدام كلمة 'تكرفس'.
السؤال: عندما كنت أسير في السوق، ______ على وجهي.
الخيارات:
أ) تكرفست
ب) توقفت
ج) ركضت
د) ضحكت",أ
تكروني,تعني شديد السواد .,Southern,"المهمة: أكمل الجملة باستخدام كلمة 'تكروني'.
السؤال: النساء يرتدون الملابس _______ عندما يكون الجو حارًا.
الخيارات:
أ) تكروني
ب) أبيض
ج) فضي
د) ملوّن",أ
تكسفت,أي تبهذلت,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما جاء الموظفون، ____ بنا.
الخيارات:
أ) تكسفوا
ب) تفشلوا
ج) توبوا
د) أكرموا",أ
تكفى,أرجوك,General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما أطلب منك شيء أقول: '________ أريد منك خدمة'.
الخيارات:
أ) اضربني
ب) تكفى
ج) ارفع صوته
د) لا تهتم",ب
تكميله﻿,يعني طقم بدلة رياضة نسميها تكميلة اول ايام الطيبين,Western,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: في الأول من أيام الطيبين، كانت الصبايا يلبسن _______.
الخيارات:
أ) تكميله
ب) فستان
ج) عباءة
د) شورت",أ
تكي,تكي كلمة أخذت من كلمة إتكأ باللغة العربية الفصحى وتعني استند. نقعد ونستريح.,Western,"المهمة: أكمل الفراغ بالكلمة الصحيحة.
السؤال: بعد يوم طويل من العمل، نحب أن نذهب ونتكي في _____
الخيارات:
أ) السيارة
ب) البيت
ج) المكتب
د) الحديقة",ب
تلايص,تستخدم ل اسكات الشخص,General,"المهمة: املأ الفراغ في الجملة التالية بالكلمة المناسبة.
السؤال: عندما يزعجني شخص، أقول له '________'.
الخيارات:
أ) تعال هنا
ب) تلايص
ج) ابعد
د) اضحك",ب
تلايط,فعل أمر . تلايط: أي أغلق الموضوع ولا أريد سماع منك كلمة زائدة عن الكلام الذي قلته. وتقال غالبا عند سماع الهراء.,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما يقول الشخص 'تلايط'، فهو يعني ____ الموضوع.
الخيارات:
أ) يبدأ
ب) يغلق
ج) يشرح
د) يناقش",ب
تلسب,تمطر بقوة .,Northern,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما تتساقط الأمطار بغزارة نقول إن الجو _______.
الخيارات:
أ) تلسب
ب) هادئ
ج) مشمس
د) ضبابي",أ
تلفلفوك,أن الجن يتلفون حولك مثل الدائره,General,"المهمة: أكمل الجملة التالية.
السؤال: عندما أقول 'تلفلفوك خمسة طاعش'، فهذا يعني أن الجن __________.
الخيارات:
أ) يتلفون حول الشخص
ب) يغنون سوياً
ج) يسيرون في الشارع
د) يختبئون في المنزل",أ
تلَّه,تله يعني اسحبه,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'تلًّ الحبل'، أعني _____ الحبل.
الخيارات:
أ) اترك
ب) اسحب
ج) قطع
د) وضع",ب
تَلِّيك,حذاء أو صندل مفتوح وسهل اللبس. تصميمه المكشوف يفسح المجال للتيارات الهوائية للولوج إلى الداخل ليعطي لابسه شعورا بالراحة في البيئة العربية الساخنة.,Western,"المهمة: املا الفراغ بالكلمة الصحيحة.
السؤال: عندما أضع تَلِّيك في قدمي، أشعر بالراحة في ______.
الخيارات:
أ) الصيف
ب) الشتاء
ج) الخريف
د) الربيع",أ
تم,كلمة بمعنى تمام يعني اذا طلب منك شخص شيء ما واردت أن تجيبه لطلبه فإنك تقول له: تم.,Central,"المهمة: إكمال الجملة بكلمة مناسبة.
السؤال: عندما يطلب مني أحد شيئًا وأنا أعطيه لطلبه، أقول له: ______.
الخيارات:
أ) لا
ب) تم
ج) ممكن
د) أعتقد",ب
تمبله,يعني ماتفلح في شي,Western,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: أثناء حديثه عن عمله، قال: 'ما أقدر أسوي شيء، أنا ________. '
الخيارات:
أ) مجتهد
ب) تمبله
ج) متفوق
د) ناجح",ب
تمكيس,تعني عمل مزيج أو خليط بين أشياء مختلفة، مثل المأكولات ذات الأطعمة المختلفة، أو العطور ذات الروائح المختلفة,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: التمكيس هو __________ بين أشياء مختلفة.
الخيارات:
أ) تمييز
ب) مزج
ج) فصل
د) تنظيم",ب
تنأ,"تعني ""أنتظر"". وأصل الكملة مأخوذة من ""التأني""",Central,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: في لهجة نجد، كلمة 'تنأ' تعني __________.
الخيارات:
أ) أذهب
ب) أنتظر
ج) ألتقي
د) أكتب",ب
تناحه,اي شخص قليل الاستيعاب او قليل التركيز .,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كان أحدهم يقول أشياء غير مفهومة، يمكنك أن تقول له: 'لا تتكلم بهذه _______ يا تناح'.
الخيارات:
أ) حكم
ب) تناحة
ج) دقة
د) وضوح",ب
تناظر,تنظر إلى,Central,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'تناظر الساعة'، فإنني أعني أنني ________ الساعة.
الخيارات:
أ) أضع
ب) أنظر إلى
ج) أتجاهل
د) أسمع",ب
تنحت,تَنَّحْ: نون مشددة تنح يريد بها العامة ثبت وجمد كالصنم يتَنِّحْ: يقف متصلباً بلا حراك أو كلام كالصنم يقال: واقف امْتَنِّحْ اي بلا حركه بلا استيعاب وتركيز تنحت = فهيت اي لحظه تتوقف فيها عن التفكير وتنفصل أسلاك الذكاء ويسرح العقل,General,"المهمة: أكمل الجملة باستخدام كلمة 'تنحت'.
السؤال: عندما سمعنا الدرس، ______ في الدرس ولم نفكر في شيء آخر.
الخيارات:
أ) تنحت
ب) ضحكنا
ج) استمرينا
د) رحلنا",أ
تنسبل,هرب واحدا تلو الآخر,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما حدثت المشكلة، بدأ الناس في __________ت.
الخيارات:
أ) التنسبل
ب) البقاء
ج) المساعدة
د) الاحتفال",أ
تنصيد,انْصُد ، تِنْصُد ، مَنْصُود ، يِتْنَصَّد ، تَنْصِيدَه ، تَنْصِيد والتصنيد هو عملية تحويل شيء ما إلى كمين له طُعم ليكون فخ.,General,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: في بعض ألعاب الفيديو، يمكن أن يتم تنصيد اللاعب ليكون __________.
الخيارات:
أ) ضحية
ب) مساعدة
ج) قوي
د) سريع",أ
تنكس,اي الرقص بخبال و هبل وغالبا يكون على انغام جميلة و راقصة,Southern,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: في العرس، بدأنا _________ على أنغام الموسيقى.
الخيارات:
أ) نغني
ب) نتحدث
ج) تنكسنا
د) نرقص",ج
تهبيقة,هَبْقَه ، تَهْبِيقَه ، هبّقْنا ، مِهَبِّقِين الهبقه هي :الفعل الذي يُفعل بلا سابق تخطيط ومع العزيمه على اتمامه.,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: محمد ______ اننا نروح نلعب بولينق.
الخيارات:
أ) قرر
ب) هبّق
ج) فكر
د) حجز",ب
تهوله,التهوله كلمة تطلق على من يحاول إظهار عدم الفهم رغم فهمه,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما يتحدث شخص عن موضوع وهو يعرف كل التفاصيل، نقول إنه ______.
الخيارات:
أ) يحب المناقشة
ب) يتهول
ج) يستمع
د) يتعلم",ب
تهوّية,"تهوّية , وهي كلمة من منطقة الاحساء . وتعني الحوش والحوش يعني .فناءُ الدّار ونحوُه.",Western,"المهمة: املأ الفراغ بالكلمة المناسبة: 'تستخدم كلمة ________ للإشارة إلى فناء الدار'.
السؤال: املأ الفراغ بالكلمة المناسبة.
الخيارات:
أ) تهوّية
ب) حديقة
ج) مطبخ
د) صالة",أ
تهوّية- تهوية-تهويه,"تهوّية , وهي كلمة من منطقة الاحساء . وتعني الحوش والحوش يعني .فناءُ الدّار ونحوُه.",Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: يحب الأطفال اللعب في __________ لاحتوائها على المساحة الكافية.
الخيارات:
أ) المنزل
ب) التهوية
ج) الشارع
د) المدرسة",ب
توحي,بمعنى تسمع .,Central,"المهمة: أكمل الجملة بالخيارات المناسبة.
السؤال: عندما تتحدث معي، _____ أنك توحي لي بشيء.
الخيارات:
أ) يعني
ب) توحي
ج) تشعر
د) ترى",ب
تولج,كلمة ونوعها فعل، وتعني أزعج، أقلق,Western,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: عندما يأتي شخص ما لزيارتي ويبدأ بكثر الكلام، أشعر بأنهم _____ني.
الخيارات:
أ) فرحوا
ب) تولج
ج) حزنوا
د) ساعدوا",ب
تولم,تجهز,Western,"المهمة: إكمال الجملة بالكلمة الصحيحة.
السؤال: يجب عليكم أن ________ قبل أن نبدأ الرحلة.
الخيارات:
أ) تأخذون
ب) تولم
ج) تتفقون
د) تأكلون",ب
تُومَاتيك,نوع من المثلجات الممكن تجهيزها في المنزل، تشتهر في رمضان، وتجهز عن طريق سكب كمية من العصير في كيس بلاستيكي صغير ثم ربطه ووضعه في المجمد (الفريزر). أشهر الأمثلة هي تلك المحضرة من فيمتو وتانج برتقال.,Western,"المهمة: اكمل الجملة باستخدام الكلمة 'تُومَاتيك'.
السؤال: في رمضان، نحب أن نتناول ______ بعد الإفطار.
الخيارات:
أ) تُومَاتيك
ب) حلوى
ج) فاكهة
د) شوربة",أ
توي,كلمة (توي) لها معنا مماثل لها وهوا (دوبي) وتستخدم هذه الكلمة حينما تريد اخبار اي شخص بانك فعلت شيئا ما الان وليس منذ زمن.,Western,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: لقد ذهبت إلى السوق ____ توي.
الخيارات:
أ) منذ
ب) حديثاً
ج) بعيداً
د) لاحقاً",ب
زهق,تعني طفش وملل,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يشعر الشخص بالملل، قد يقول 'أنا _____'.
الخيارات:
أ) سعيد
ب) زهق
ج) نشيط
د) مشغول",ب
تيامن,اتجه إلى اليمين,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما كنت في الطريق، قال لي صديقي '_______ ثم تياسر وتوصل للشارع العام'.
الخيارات:
أ) تيامن
ب) تشاركني
ج) كيف حالك
د) تعال هنا",أ
تيدنا,هي كلمه تدل على التمهل,Western,"المهمة: أكمل الجملة باستخدام الكلمة الصحيحة.
السؤال: نحن نمشي على __________، إيش فيك امشي على تيدك.
الخيارات:
أ) تسرع
ب) تيدنا
ج) تفضل
د) هدوء",ب
تيراريا,مصطلح للنوع الجديد من المخدرات,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في الحديث السعودي، يُعتبر 'تيراريا' ______.
الخيارات:
أ) نوع من الألعاب
ب) نوع جديد من المخدرات
ج) غذاء مفضل
د) أغنية شعبية",ب
ثانوس,اجود العرب و اكرمهم و اجملهم خلقاً و اخلاقاً,Western,"المهمة: أكمل العبارة بكلمة تناسبها.
السؤال: يُستخدم مصطلح 'ثانوس' لوصف شخص بأنه __________.
الخيارات:
أ) بخيل
ب) أجود العرب
ج) عادي
د) سيئ",ب
ثلج مويه,"لعبة يمكن لعبها في اي مكان شرط وجود مكان واضح يمكن اعتباره الحزيزه ، قواعد اللعبه :- • ان يكون هناك فريقان ( فريق الماء ""مويه"" وفريق الثلج) وفريق الثلج لابد ان يكون عدد افرادهم اقل من عدد افراد المويه في بداية اللعبة . • هدف فريق الثلج هو تجميد اكبر قدر ممكن من افراد الموية ، وانهاء الجولات بسرعه. • هدف المويه جعل الثلج يستسلم ويُرهق من كثرة الجري. • اذا شخص من فريق الثلج لمس شخصًا من فريق المويه فإن على المويه ان تتجمد (اي يتوقف مكانه) • اذا انتهت الجولة وكان هناك مياه مجمده فانها تتحول الى فريق الثلج • تنتهي الجولة عندما يدخل جميع افراد المويه الغير مُجمّدين الحزيزه - طالما ان هناك شخص من المويه وكان غير مجمد في ارضية الملعب فان الجوله قائمة. • يستطيع افراد فريق الموية تحرير صديقهم المجمد اذا لمسوه قبل انتهاء الجولة ، اما ان لم يُنقذ فانه بعد انتهاء الجولة يتحول الى ثلج. • لا يستطيع افراد الثلج تجميد من هم في داخل الحزيزه. • يفوز فريق الثلج اذا بقي شخص واحد من افراد الموية لم يتحول الى ثلج.",Western,"المهمة: أكمل الجملة بالفراغ المناسب.
السؤال: في لعبة 'ثلج مويه'، هدف فريق الثلج هو ________ أكبر قدر ممكن من أفراد فريق المويه.
الخيارات:
أ) تجميد
ب) إنقاذ
ج) الهروب
د) الاختباء",أ
ثمين,ثمين : تعني بعدين او ثم,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: ركبنا السيارة ______ وصلنا.
الخيارات:
أ) بعدين
ب) سريعا
ج) عما قريب
د) متأخرين",أ
جَبّاسة,وصف يطلق على الشخص الفضولي وفعله يجبس.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الشخص الجبّاس دائماً _______ في شؤون الآخرين.
الخيارات:
أ) يكون مشغولاً
ب) يتجاهل
ج) يتدخل
د) يحترم",ج
جثل / جثلة,الشخص ضخم البنية وعريض المنكبين. للانثى جثلة,Central,"المهمة: قم بملء الفراغ بالكلمة الصحيحة.
السؤال: الشخص الذي يتميز بالبنية الضخمة يقال له '____'.
الخيارات:
أ) نحيف
ب) جثل
ج) قاصر
د) ضعيف",ب
جح,وتعني الحبحب أو البطيخ الأحمر وهو من الفواكهه الصيفية,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما أذهب إلى السوق، أشتري ______.
الخيارات:
أ) جح
ب) سمك
ج) لحم
د) خبز",أ
جحفل,هي كلمة اتت من اللاعب محمد جحفلي حيث انه سجل هدف في احد المباريات في آخر دقيقة من المباراة واصبحت كلمة دارجة عند حصول شيء مباغت في آخر الوقت,General,"المهمة: أكمل الجملة بكلمة 'جحفل'.
السؤال: عندما شعرنا بالفوز، __________ في الدقيقة الأخيرة من المباراة.
الخيارات:
أ) خسرنا
ب) جحفل
ج) تمكنا
د) خرجنا",ب
جحفلي,"المعنى :مفاجأة الخصم بالتعادل في اخر النزال او قلب الخسارة الى فوز - جاءت الكلمة من اسم لاعب نادي الهلال ""محمد جحفلي"" واطلقت بعد هدفه على نادي النصر في اخر دقائق مما جعل المباراة تعود الى التعادل وذلك في نهائي كاس الملك السعودي لعام .",General,"المهمة: املا الفراغ باستخدام الكلمة المناسبة.
السؤال: في الدقائق الأخيرة من المباراة، قام اللاعب بتسجيل هدف جحفلي، مما أحدث __________ في نتيجة المباراة.
الخيارات:
أ) توازن
ب) فقدان
ج) انتصار
د) هزيمة",أ
جِحلوطي,من جحلط يتجحلط متجحلط فهو جحلوطي المتمرد الخارج على النظام العائلي خاصة وغالبا للرجل دون المرأة لأن المرأة أصلا ما تقدر تتمرد :(,Western,"المهمة: املأ الفراغ باستخدام الكلمة المناسبة.
السؤال: الشخص الذي يتجحلط يسمى _____ .
الخيارات:
أ) جحلوطي
ب) مطيع
ج) فاشل
د) متعاون",أ
جخاخ,تقصد للمبذر المسرف .,Southern,"المهمة: أكمل الجملة بالتعبير الصحيح.
السؤال: الشخص الذي ينفق بطريقة مسرفة يسمى ___.
الخيارات:
أ) جخاخ
ب) حكيم
ج) مقتصد
د) نبيه",أ
جدة,"مدينة سعودية عادية جدّا في الواقع، مع كل ما يقال عنها عن اختلاف او كما قد تسمى ب ""جدّة. غير"" ولا أراها تختلف في شيئ سوى في كونها المنطقة أو المدينة الوحيدة التي يشكل السكان الأجانب - المقيمين الغير سعوديين الأصل نسبة تقارب ال % من أجمالي سكانها. ل صاحب منتدى بيضيبيديا حرية الرأي وكتابة ما يشاء من آراء بحرية كاملة. لي معرفة كبيرة بالسعودية بشتى تفاريعها الجغرافية لكن المثير حقا ان تلك المسافات الشاسعة التي قد تقطعها بالسيارة في بلد تتخلله الصحاري والبراري لن يوصلك سوى الا على منطقة مماثلة تماما للمنطقة التي انطلقت منها والفرق الوحيد هو الفرق في اللهجات لا أكثر. التقاليد والمفاهيم المحافظة تطعن أصولها في جذور جدة كما هي تطعن في جذور أي منطقة سعودية أخرى ولا يوجد دليل واقعي ملموس واحد على وجود تفتح إجتماعي استثنائي ولو نسبيا في هذه المنطقة. الخرافة عندما يتم تكرارها بما فيه الكفاية تصير الى حقيقة وكذلك مع الكذبة. كثرة تكرارها يعطيها زخم وقوة وهذا كل ما في الأمر. أيضا. هي ليست منطقة مهملة ومتخلفة كما قد يصورها البعض فشمال جدة يحتوي على أحياء راقية ونظيفة، ومن ناحية مشاكل التصريف الصحي وانتشار الجرذان والقوارض وتهالك بنية الشوارع فهذا من الممكن ان تجده في مناطق أخرى ايضا. يكفي فقط ان المدينة مكتنزة بعدد هائل من المراكز التجارية الكبيرة أو المولات وتنافس حتى دُبي في أعدادها بفارق إن دُبي مدينة ليبرالية بشعبها وقوانينها يسكنها هنود وأوروبيون وشرق أوسطيون من لبنان وإيران وفلسطين وغيرها. بينما جدة مدينة محافظة كمثيلاتها.",Southern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: تُعتبر جدة واحدة من أكثر المدن السعودية _______.
الخيارات:
أ) محافظة
ب) حيوية
ج) مهملة
د) صحراوية",ب
جدول,يقولها عبدالهادي أكثر من قوله للحمد لله لو قال الحمد لله بدلاً منها لكسب الكثير من الثواب.,General,"المهمة: أكمل الجملة التالية باستخدام الكلمة المناسبة.
السؤال: يقول عبدالهادي _____ أكثر من قوله للحمد لله.
الخيارات:
أ) كيف حالك
ب) جدول
ج) الله يسعدك
د) تسلم",ب
جرار,الديوث القواد الذي يجعل اهله يمارسون الدعارة الفعل جرارة يجر اهله للزنا,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُعتبر الشخص الذي يمارس الدعارة __________.
الخيارات:
أ) جرار
ب) شريف
ج) فلاح
د) عالم",أ
جربان,العامية:الشخص المقرف الوسخ! الفصحى:المريض بالجرب!,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: شخص __________ يعني أنه يعاني من مرض الجرب.
الخيارات:
أ) حذق
ب) جربان
ج) نظيف
د) وسيم",ب
جرجور,جرجور وتعني الجرار الصغير,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في اللهجة الحجازية، كلمة 'جرجور' تشير إلى ______.
الخيارات:
أ) الجرار الكبير
ب) الجرار الصغير
ج) وعاء للأكل
د) كيس من البلاستيك",ب
جردل,الجردل هو دلو الماء، ويستخدم بالعامية كناية عن إخلاف الوعد.,Western,"المهمة: أدخل كلمة مناسبة في الفراغ.
السؤال: عندما ينجح الشخص في نكث الوعد، يقال إنه '___'.
الخيارات:
أ) محتال
ب) جردل
ج) صادق
د) عاقل",ب
جرو,كلمة عامية بكسر الجيم وضم الراء وتعني فاكهة الشمام ويقال في اللهجة النجدية : جرو أو جراوة بسكون الجيم وفتح الراء,Western,"المهمة: إكمال الجملة بكلمة 'جرو'.
السؤال: ________ هو نوع من الفاكهة التي تُعرف بالشمام.
الخيارات:
أ) التفاح
ب) البرتقال
ج) جرو
د) التين",ج
زَمِل,زمل : بمعنى شايل هم او متخوف,Central,"### نوع السؤال: املأ الفراغ 
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
- السؤال: ""علي من الامتحان بكرة."" 
- الخيارات: 
 A) زمل 
 B) خرج 
 C) تأخر 
 D) قرأ 
-",A
جعمُوص,"جعموص كلمة مصدرها مجهول حالياً .تناقلها الرباح واصدقائة منذ عصر ليس ببعيد ،و يُعنى بهذه الكلمة ""الغائط ذو الحجم الهائل""",Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: كلمة 'جعمُوص' تشير إلى ______ ذو الحجم الهائل.
الخيارات:
أ) الماء
ب) الغائط
ج) الطعام
د) الهواء",ب
جغافير,بمعنى الرغوه من المشروب,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما أعدت الكابتشينو، وضعت عليه الكثير من ________.
الخيارات:
أ) السكر
ب) الجغافير
ج) الحليب
د) القهوة",ب
جغجغة,اصل الكلمه تقال لوصف الارض التي تعاقب عليها المطر وتشبعت به فصارت لينة كالإسفنجة اذا وطِئتها وهي مشبعه بالماء، فيقال الارض تجغجغ. لكنها اصبحت ترمز للاستمناء عند الاناث.,General,"المهمة: أكمل الفراغ بما يناسب.
السؤال: العبارة: 'الأرض تجغجغ عندما تكون _____ بالماء.'
الخيارات:
أ) مشبعة
ب) جافة
ج) عميقة
د) باردة",أ
جغر,صرخ,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما يصرخ أحدهم، يمكن أن نقول إنه ______.
الخيارات:جغر",ي
جغفة,جغفة، تعني قُبلَةٌ قوية، اي ليست قُبلَةً قصيرة او بسيطة بل قوية و أطول من القُبُلات العادية.,Western,"المهمة: استخدم الكلمة المناسبة لملء الفراغ.
السؤال: عندما رأيته بعد فترة طويلة، أعطيته ______ قوية.
الخيارات:
أ) قبلة
ب) جغفة
ج) لمسة
د) مصافحة",ب
جغمة,جغمة: بضم الجيم وتعني رشفة,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما أريد أن أشرب قليلاً من الماء، أقول: أعطني _____ من الماء.
الخيارات:
أ) قطرات
ب) جغمة
ج) كوب
د) صنبور",ب
جغود,بمعنى الوجنتان الممتلئه ~,Southern,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: يقال عن الفتاة ذات الوجنتين الممتلئتين إنها ____.
الخيارات:
أ) جغود
ب) سمينة
ج) نحيفة
د) قصيرة",أ
جفس,"في لسان العرب "" وفي النوادر: فلان جِفْسٌ وجَفِسٌ أَي ضخم جافٍ. "" و في تاج العروس "" وفي النَّوادِر: فلانٌ جِفْسٌ وجَفِسٌ، أي ضخمٌ جافٍ. "" و في العباب الزاخر "" وفي النوادر: رجلٌ جِفْسٌ وجَفِسٌ -مثال كِبْدٍ وكَبِدٍ-: أي ضخمٍ جاف. و في الوسيط "" (الجِفْسُ) من الناس: اللئيمُ مع ضَعْفٍ ونَذَالةٍ. و- الضَّخْمُ الجافي. "" و في المحيط "" الجِفْسُ : اللئيم مع ضعف ونذالة؛ كيف تعاشر. هذا الجفسَ.-. الضخم الجافي، قيل لي إن هذا الجفسَ ملاكم ماهر. "" و في كلام العامة بهذا المعنى",Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: فلان ____ جفس.
الخيارات:
أ) ليس
ب) دائماً
ج) كأنه
د) فعلاً",د
جلالة,جلالة بكسر حرف الجيم ومعناها زولية او سجاد.,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: نضع السجاد على __________.
الخيارات:
أ) الجلالة
ب) المطر
ج) الكرسي
د) الطاولة",أ
جلف,اتّصف بالحمق وغلظ الطبع,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: كان يجب أن يتعامل معه بلطف، لكنه كان ____ في حديثه.
الخيارات:
أ) جلف
ب) لطيف
ج) كريم
د) ذكي",أ
جلمه,تطلق على الشخص الغبي المعتوه,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: يرمز مصطلح 'جلمه' في اللهجة النجدية إلى شخص _____ .
الخيارات:
أ) شجاع
ب) حكيم
ج) غبي
د) لطيف",ج
جنمبية,بإدغام النون بالمبيم فتنطق جمبية، وتعني الخنجر (سيف صغير) وعند اليمن تنطق قنمبية,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُعتبر الخنجر المعروف بـ '_______' جزءاً من التراث السعودي.
الخيارات:
أ) جنمبية
ب) سيف
ج) رمح
د) درع",أ
جهدا,بقوة,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يجب علينا أن نعمل ________ لتحقيق الأهداف.
الخيارات:
أ) جهدا
ب) ببطء
ج) بلا جهد
د) بسهولة",أ
جُوَاز,معناها في الحجازية عرس,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في يوم الخميس الجاي، فيه ______ بنت جارتنا سوسن.
الخيارات:
أ) حفل
ب) زواج
ج) جواز
د) مناسبة",ج
جوع الحوتة,تقال للشخص الذي يشعر بالجوع الشديد ولا يستطيع الصبر من شدة الجوع ويبدأ باستمرار بطلب الطعام,Western,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما يشعر الشخص بالجوع الشديد، يمكن أن نقول إنه '_______'.
الخيارات:
أ) جوعان
ب) جوع الحوتة
ج) شبعان
د) مرتاح",ب
جوه,معنى الكلمة هو : أتى,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: هم _____ إلى الرياض.
الخيارات:
أ) وصلوا
ب) جوه
ج) عادوا
د) انتظروا",ب
زلابه,زلابه = غبي,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قلنا عن شخص ما إنه 'زلابه'، فإن ذلك يعني أنه ____.
الخيارات:
أ) غبي
ب) حكيم
ج) محب
د) نشيط",أ
جيبيلي,أحضريلي,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: سارة: لين، ___ جوالي من الصالة. لين: طيب.
الخيارات:
أ) جيبيلي
ب) اتركي لي
ج) خذي لي
د) احضري",أ
جيّد,"عكسها: مو جيّد. و تدل على الشيء الحسن أو الممتاز أو الأحسن من الممتاز. عند تقييم الأشياء بالطريقة التقليدية أو بالفصحى غالباً ما يكون التدرج كالآتي: جيّد, جيّد جداً, ثم ممتاز. و لكن باللهجة المحكية, جيّد غالباً ما تكون أفضل من أو في مثابة الممتاز.",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال أحدهم 'هذا الرجل _______ في عمله'، فما الكلمة المناسبة؟
الخيارات:
أ) جيّد
ب) سيء
ج) عادي
د) ممتاز",أ
