Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
الشقردي,الفتى النبيه والنشيط الذي يستطيع إتمام المهام الموكلة له بكل حرفي,Central,"المهمة: تفسير المصطلح من منظور ثقافي.
السؤال: ماذا تعني كلمة 'الشقردي' في الثقافة النجدية؟
الخيارات:
أ) تعني الفتى الكسول
ب) تعني الفتى النبيه الذي يتحلى بالنشاط
ج) تشير إلى شخص غير معروف
د) تعني شخص يتجنب العمل",ب
الضاطور,هو الوزغ أو الأبرص أو الفويسق كما سماه الرسول محمد,Central,"المهمة: اشرح المعنى الثقافي لكلمة 'الضاطور'.
السؤال: ما هو التفسير الثقافي لكلمة 'الضاطور' في الثقافة السعودية؟
الخيارات:
أ) شيء يعتبر مبارك
ب) حيوان يتم التخلص منه
ج) رمز للثروة
د) نوع من الطيور",ب
الضعافين,الضعافين وهم الأطفال,Southern,"المهمة: حدد كيف يمكن أن تعكس كلمة 'الضعافين' مفاهيم ثقافية معينة.
السؤال: كيف تعكس كلمة 'الضعافين' القيم الثقافية في المجتمع السعودي؟
الخيارات:
أ) تشير إلى حاجة المجتمع لرعاية الأطفال
ب) تدل على ضعف الثقافة
ج) تعني الاعتزاز بالقوة
د) تشير إلى عدم الاهتمام بالتعليم",أ
الطراقيس,القراطيس,General,"المهمة: ما سبب استخدام كلمة 'الطراقيس' في اللهجة السعودية؟
السؤال: قد تجد كلمة 'الطراقيس' مستخدمة في المحادثات اليومية بالمملكة، لماذا؟
الخيارات:
أ) لأنها تشير إلى الأقمشة
ب) لأنها تعبر عن الحاجات اليومية
ج) لأنها اسم مدينة
د) لأنها كلمة جديدة",ب
الطلطميس,اي ان الحاله سيئه كأن تقول وضعي في الطلطميس اي وضغي سيء جداً,General,"المهمة: شرح المفهوم الثقافي لكلمة 'الطلطميس'.
السؤال: ما هو التفسير الثقافي لكلمة 'الطلطميس' في المجتمعات السعودية؟
الخيارات:
أ) تعبر عن النجاح والفخر
ب) تشير إلى الأزمة أو المحن
ج) توضح اللحظات السعيدة
د) تدل على الاسترخاء",ب
العروق,العروق تعنى الكثبان الرملية,General,"المهمة: أوضح ما تعنيه كلمة 'العروق' في الثقافة السعودية.
السؤال: ماذا تعني كلمة 'العروق' في الثقافة السعودية؟
الخيارات:
أ) الكثبان الرملية التي تتواجد بكثرة في الصحراء.
ب) شجرة تتواجد في الأراضي الزراعية.
ج) منطقة جبلية مرتفعة.
د) بحيرة كبيرة.",أ
الغايلة,وقت عز الظهيرة حيث تبلغ حرارة الشمس ذروتها وتخلو الشوارع من الحركة. وهي كلمة حسائية شرق السعودية,General,"المهمة: حدد التعبير الثقافي المرتبط بكلمة 'الغايلة'.
السؤال: ما هو الدور الثقافي لكلمة 'الغايلة' في المجتمع السعودي؟
الخيارات:
أ) تشير إلى وقت النشاط
ب) تعبر عن حر الصيف
ج) تدل على وقت السفر
د) تعني وقت الاستراحة",ب
الغزية,غزية-بتشديد الغين والياء- تعني ملعقة,Southern,"المهمة: اذكر لماذا تعتبر كلمة 'الغزية' ذات أهمية في الثقافة الحجازية.
السؤال: لماذا يُعتبر استخدام كلمة 'الغزية' جزءاً من التراث الثقافي في مكة المكرمة؟
الخيارات:
أ) لأنها مرتبطة بعادات الطعام في العائلة
ب) لأنها تشير إلى نوع من الموسيقى
ج) لأنها تعبر عن نوع من الأزياء
د) لأنها كلمة نادرة الاستخدام",أ
اْلِغمن,بمعنى اصمت او اخرس,Central,"المهمة: اشرح معنى الكلمة في سياق ثقافي.
السؤال: ما هو التفسير الثقافي لكلمة 'اْلِغمن' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الاستمتاع
ب) تعبير عن الصمت
ج) تعبير عن الفرح
د) تعبير عن الحزن",ب
الفقه,اِلْفِقَهْ : اخرس,Central,"المهمة: فسر معنى الكلمة 'الفقه' في سياق ثقافي معين.
السؤال: كيف تعكس كلمة 'الفقه' ثقافة المجتمع السعودي؟
الخيارات:
أ) تعبر عن التعليم
ب) تعكس الصمت
ج) تعكس احترام الآراء
د) تعني عدم الحديث",ب
القَطَّة,القطة: هي مبلغ من المال يدفعه مجموعة من الناس للإشتراك في شراء أو دفع ثمن شيء معين يستفيدون منه كلهم وغلبًا ما يكون سلعة استهلاكية.,General,"المهمة: حدد التفسير الثقافي لكلمة 'القَطَّة'.
السؤال: ما هو التفسير الثقافي لكلمة 'القَطَّة' في المجتمع السعودي؟
الخيارات:
أ) طريقة للتعبير عن الحب
ب) نظام لجمع الأموال للمشاركة في شراء أشياء
ج) احتفال يقام في المناسبات
د) طبخة تقليدية",ب
القفه,وعاءٌ من ورق النخل لحمل البضائع وغيْرها,Western,"المهمة: حدد السبب الذي يجعل كلمة 'القفه' مهمة في الثقافة السعودية.
السؤال: لماذا تُعتبر القفه جزءاً من التراث السعودي؟
الخيارات:
أ) لأنها تُستخدم في الحياة اليومية لحمل البضائع
ب) لأنها تُعتبر من الأطعمة التقليدية
ج) لأنها تُستخدم فقط في المناسبات الرسمية
د) لا يوجد لها أهمية في الثقافة السعودية",أ
القم,القم بمعنا ابلع او تستحق ما جاك او بتضخيم ما حصل له و معناها الحرفي ابتلع,Central,"المهمة: حدد العبارة التي تمثل الفهم الثقافي لكلمة 'القم'.
السؤال: لماذا تُستخدم كلمة 'القم' في الثقافة السعودية؟
الخيارات:
أ) للدلالة على الاستسلام
ب) للقول بأن الشخص يتحمل العواقب
ج) لتعبر عن الراحة النفسية
د) للتعبير عن الفخر",ب
الكتلة,الكتلة ويكتل هي الضرب المبرح بلهجة أهل تبوك,Northern,"المهمة: فسر كيف يعكس استخدام كلمة 'الكتلة' في اللهجة السعودية ثقافة معينة.
السؤال: لماذا تعد كلمة 'الكتلة' جزءاً من الثقافة المحلية في السعودية؟
الخيارات:
أ) لأنها تشير إلى الأطباق التقليدية.
ب) لأنها تعكس أسلوب التعامل بين الناس.
ج) لأنها مرتبطة بالطقوس الدينية.
د) لأنها تعبر عن البيئة الطبيعية.",ب
الكشخه,الكشخه بالنجدية تعني الملابس الفخمه الرائعه الجذابة وليست اي ملابس,Central,"المهمة: اشرح أهمية كلمة 'الكشخه' في الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'الكشخه'؟
الخيارات:
أ) تُعبر عن الفخر والاهتمام بالمظهر
ب) تعبير عن حب الألوان
ج) تشير إلى العناية بالصحة
د) تُستخدم في ألعاب الأطفال",أ
اللزقة,وصف للشخص الذي يطاردك بكل مكان ، مثل الاصق يلتصق بك في جميع شؤونك وتأتي بنفس معنى كلمة ( نشبة ),Western,"المهمة: ما هو التفسير الثقافي لكلمة 'اللزقة' في اللهجة السعودية؟
السؤال: ماذا تعني كلمة 'اللزقة' في الثقافة الشعبية في السعودية؟
الخيارات:
أ) شخص يلتصق بك في جميع شؤونك
ب) شخص ينظم حفلات
ج) شخصية في فيلم
د) شخص يجيد الرسم",أ
اللَّكَمَة,الارض,Central,"المهمة: فسر معنى الكلمة في السياق الثقافي.
السؤال: ما الذي تعبر عنه كلمة 'اللَّكَمَة' في المجتمع السعودي؟
الخيارات:
أ) تعود إلى مفهوم الأرض والموطن
ب) تعبر عن المكان الذي يُزرع فيه الحبوب
ج) تشير إلى المياه
د) تدل على الجبال",أ
سربوت,كثير السهر خارج البيت,General,"المهمة: حدد مدى فهمك للثقافة المرتبطة بكلمة 'سربوت'.
السؤال: ماذا تعني كلمة 'سربوت' في السياق الثقافي السعودي؟
الخيارات:
أ) تعكس نمط حياة يجمع بين السهر والاجتماعيات
ب) تعني العمل الجاد
ج) تدل على الحياة المنزليّة
د) تشير إلى الأوقات الهادئة",أ
اللوذة,"اللوذة ومعناها ""الزاوية""",Central,"المهمة: تفسير الاستخدام الثقافي لكلمة 'اللوذة'.
السؤال: كيف يعكس استخدام كلمة 'اللوذة' في اللهجة النجدية ثقافة المكان؟
الخيارات:
أ) تعكس أهمية الزوايا في المنازل التقليدية.
ب) تعكس الاهتمام بالسيارات.
ج) تعكس الطقوس الدينية.
د) تعكس الطبيعة الجغرافية.",أ
اللي,أسم موصول شامل للجميع الضمائر والأشكال.,General,"المهمة: حدد ما تعنيه كلمة 'اللي' في الثقافة السعودية.
السؤال: ما هي أهمية استخدام كلمة 'اللي' في اللهجة السعودية؟
الخيارات:
أ) تعني الانتماء للأرض
ب) توضح صلة القرب
ج) تستخدم لتسهيل التفاهم بين الناس
د) لا تعني شيء خاص",ج
المجبب,مدخل المنزل,Southern,"المهمة: قم بشرح المعنى الثقافي لكلمة 'المجبب'.
السؤال: كيف تعكس كلمة 'المجبب' الثقافة السعودية؟
الخيارات:
أ) تعكس أهمية التجمعات الأسرية
ب) تشير إلى نمط الحياة التقليدي
ج) ترمز إلى الفخامة
د) كل ما سبق",د
المرغه,هو المكان المغبر,Western,"المهمة: اشرح معناها في سياق ثقافي.
السؤال: ما هو التفسير الثقافي لكلمة 'المرغه' في اللهجة السعودية؟
الخيارات:
أ) هو مكان مخصص لتجميع الأغنام
ب) هو مكان شائع للنزهات
ج) هو مكان مغبر يتم استخدامه في الصناعة
د) هو مكان ضيافة أهل البادية",د
المشغوله,المشغوله وتعني النمله,Central,"المهمة: ما هي دلالات كلمة 'المشغوله' في الثقافة السعودية؟
السؤال: كيف يتم استخدام كلمة 'المشغوله' في الأحاديث اليومية بين السعوديين؟
الخيارات:
أ) للإشارة إلى الشخص النشيط
ب) للإشارة إلى شخص مشغول بأعماله
ج) للإشارة إلى شخص كسول
د) غير متاح",ب
ابوسفسف,تعني كلمة <ابو سفسف> الرجل الكريم الخلوق ذو المكانه العاليه ، ظهرت الكلمه لاول مره ميلادي كنايتاً للراحل ( يوسف سليمان الشمري ) الذي كان عالماً وشاعراً وكان معروفاً بالعدل,General,"المهمة: تفسير دلالة استخدام كلمة 'ابوسفسف' في الثقافة السعودية.
السؤال: لماذا تعتبر كلمة 'ابوسفسف' دلالة على الكرم والأخلاق في الثقافة السعودية؟
الخيارات:
أ) لأنها تعني المال الكثير
ب) لأنها تشير إلى الشجاعة
ج) لأنها تنسب إلى أشخاص عرفوا بالعدل والكرم
د) لأنها تدل على القوة البدنية",ج
سبهه,غبي أو فاغر الفاه,General,"المهمة: حدد ما تعبر عنه كلمة 'سبهه' في الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'سبهه' في اللهجة السعودية؟
الخيارات:
أ) تعبر عن الذكاء
ب) ترتبط بالغباء أو نقص الفهم
ج) تشير إلى الطموح
د) تعبر عن الحكمة",ب
المعقل,هذه وجبة غذائية دسمة تحتوي على دقيق وأرز بالاضافة الى اللبن والسمن وتشتهر هذه الوجبة عند قبيلة السفياني وخصوصا العمري حيث يتميز بهذه الوجبة عائلة عمري سفيانية يوجد بها ربة منزل متميزة جدا بالطهي وخصوصا هذه الوجبو وعادة ما تؤكل هذه الوجبة في سحور شهر رمضان حيث تساعد هذه الوجبة على ابقاء الشبع لدى الانسان حتى وجبة الافطار عند غروب الشمس,Western,"المهمة: حدد العبارة الصحيحة عن الثقافة المرتبطة بكلمة 'المعقل'.
السؤال: ما هو السياق الثقافي لكلمة 'المعقل'؟
الخيارات:
أ) الوجبة تقليدية في جميع دول الخليج.
ب) تُعرف بشكل خاص عند قبيلة السفياني.
ج) تُستخدم فقط في الحلويات.
د) هي وجبة حديثة لم تُعرف من قبل.",ب
الميانة,الميانة يعني الشخص قبل لاتعرفيه تتكلم معه عادي وتسولف له وكأنك تعرفه من سنين,Southern,"المهمة: أدخل شرحاً لكيفية استخدام كلمة 'الميانة' في الثقافة السعودية.
السؤال: كيف تعبر 'الميانة' عن العلاقات الاجتماعية في المجتمع السعودي؟
الخيارات:
أ) هي طريقة للتقليل من القيم الاجتماعية.
ب) تدل على انفتاح الشخص على الآخرين.
ج) تشير إلى عدم الاحترام للغرباء.
د) تعبر عن العزلة الاجتماعية.",ب
النمنم,مخلوق خرافي يزعم بأنه سفاح، مصاص للدماء، آكل للحوم البشر، وله قرون وذيل قصير، يخرج في الليل وضحاياه غالبا ما يكونون من الأطفال. اشتهرت هذه الخرافة كوسيلة بين الآباء والأمهات في الحجاز لبث الرعب في قلوب أطفالهم وحدهم عن الخروج من المنزل في فترة الليل.,Southern,"المهمة: حدد الخصوصية الثقافية للكلمة.
السؤال: ما هو الدور الثقافي للنمنم في المجتمع الحجازي؟
الخيارات:
أ) تخويف الأطفال لمنعهم من الخروج في الليل.
ب) تهنئة الأطفال في الأعياد.
ج) تعليم الأطفال عن الطبيعة.
د) تحفيز الأطفال على القراءة.",أ
الهبني,اي لا شيء,General,"المهمة: تحديد الأفكار الثقافية المرتبطة بكلمة 'الهبني'.
السؤال: ما الذي يشير إليه استخدام كلمة 'الهبني' في السياق السعودي؟
الخيارات:
أ) تعبير عن الندرة
ب) تعبير عن الفخر
ج) تعبير عن الممتلكات
د) تعبير عن الكرم",أ
الهرجة,الهرجة = الموضوع او السيرة,Western,"المهمة: اختر الجواب الذي يصف الفهم الثقافي لكلمة 'الهرجة'.
السؤال: ما هو الفهم الثقافي لكلمة 'الهرجة' في المجتمع السعودي؟
الخيارات:
أ) هي مجرد حديث عابر
ب) هي مناقشة مهمة تتعلق بحياة المجتمع
ج) هي طريقة للتسلية فقط
د) لا يوجد لها تأثير على المجتمع",ب
الهن,هو اسم اشارة للشي,Western,"المهمة: افهم السياق الثقافي للكلمة.
السؤال: ما هو المعنى الثقافي لكلمة 'الهن' في اللهجة السعودية؟
الخيارات:
أ) يعبر عن الشيء القريب
ب) يشير إلى الذكاء
ج) يدل على القوة
د) يعبر عن الغموض",أ
الهنا,الشيء. وتستخدم عند نسيان اسم الشيء المشار إليه,Central,"المهمة: حدد التفسير الثقافي لكلمة 'الهنا'.
السؤال: كيف تعكس كلمة 'الهنا' الثقافة السعودية؟
الخيارات:
أ) تعبر عن التواصل اليومي
ب) تشير إلى الأدوات المنزلية
ج) تتعلق بالحياة البرية
د) تشير إلى المهرجانات",أ
الوكاد,الأكيد,Southern,"المهمة: اختر التفسير الصحيح للدلالة الثقافية لكلمة 'الوكاد'.
السؤال: ما الذي تشير إليه كلمة 'الوكاد' في الثقافة السعودية؟
الخيارات:
أ) الثقة في المعلومات
ب) التعقيد
ج) عدم اليقين
د) التردد",أ
الوليدة,يتردد في الاشعار كثير,Western,"المهمة: حدد الاستخدام الثقافي لكلمة 'الوليدة'.
السؤال: ماذا تعني كلمة 'الوليدة' في السياق الثقافي للسعوديين؟
الخيارات:
أ) تشير للأنوثة
ب) تُستخدم للإشارة إلى الأطفال
ج) تُعبر عن الاعتزاز بالماضي
د) تشير إلى الشعر الجاهلي",د
ام قسم,للتاكيد على سالفة معينه,General,"المهمة: اشرح الثقافة السعودية المتعلقة باستخدام كلمة 'ام قسم'.
السؤال: ما السياق الثقافي المستخدم عند قول 'ام قسم' في المجتمع السعودي؟
الخيارات:
أ) يُستخدم كوسيلة للاعتذار
ب) يُستخدم للتأكيد على مصداقية الكلام
ج) يُستخدم للتعبير عن الفخر
د) يُستخدم في التهكم",ب
اما,معناه من جدك؟ وتقال في حالة عدم التصديق عند سماع خبر او معلومه,Western,"المهمة: حدد كيف تعبر كلمة 'اما' عن الثقافة المحلية.
السؤال: لماذا نقول 'اما' في حالة عدم التصديق؟
الخيارات:
أ) تعبير عن السخرية
ب) تعبير عن السعادة
ج) تعبير عن الشك
د) تعبير عن السخط",ج
امحطك,الضرب الشديد اللذي يؤدي الى اعاقه,Central,"المهمة: ما هي الثقافة التي تنتمي إليها الكلمة 'امحطك'؟
السؤال: كلمة 'امحطك' تمثل جزءًا من الثقافة اللغوية في أي منطقة؟
الخيارات:
أ) المنطقة الشرقية
ب) مكة المكرمة
ج) نجد
د) المدينة المنورة",ج
امحطوه,اضربه بشده,Central,"المهمة: ما هو التفسير الثقافي لكلمة 'امحطوه'؟
السؤال: كيف تعكس كلمة 'امحطوه' جزءاً من الثقافة النجدية؟
الخيارات:
أ) تعكس عدم التسامح
ب) تعكس القوة والشجاعة
ج) تعكس الود والمحبة
د) تعكس التعاون",ب
امخبت,تعني الأرض الفضاء أو البر,General,"المهمة: فكر في العبارة الثقافية المتعلقة بالكلمة.
السؤال: ما المعنى الثقافي لكلمة 'امخبت' في اللهجة السعودية؟
الخيارات:
أ) تشير لمناطق البرية المفتوحة
ب) تعني البحر
ج) تعبر عن المدينة
د) تعكس الحياة الحضرية",أ
امرد,امرد(فعل امر) يمرد(فعل مضارع) مرد(فعل ماضي) ومرد بمعنى قبص(اي مسك بجلد الانسان وفره بيديه بقوه),Central,"المهمة: فسر المعنى الثقافي لكلمة 'امرد'.
السؤال: ما العلاقة الثقافية لكلمة 'امرد' في اللهجة السعودية؟
الخيارات:
أ) تعبر عن الضعف
ب) تشير إلى الشجاعة
ج) تعكس تقاليد معينة
د) تعبر عن خفة الدم",ج
امردغك,يعني أضربك ضربا شديدا وهناك كلمة أخرى بمعنى مشابه وهي أدبغك,General,"المهمة: فسر الكلمة في سياق ثقافي.
السؤال: ما معنى كلمة 'امردغك' في الثقافة السعودية؟
الخيارات:
أ) تعبير عن الرغبة في اللعب
ب) تعبير عن الغضب أو التهديد
ج) تعبير عن التفاهم
د) تعبير عن المحبة",ب
امرشه,"فعل أمر ويعني ""أدبه"" بسكون الباء والاسم منه <مرش>وله معاني مرادفه : تنهزره ، اخرشه اكرشه .إلخ .",Central,"المهمة: فسر العبارة الثقافية المتعلقة بكلمة 'امرشه'.
السؤال: تعكس كلمة 'امرشه' جوانب من الثقافة السعودية في تأديب الأطفال. ما هو هذا التفسير؟
الخيارات:
أ) الاهتمام بتنشئة قوية
ب) التساهل في التربية
ج) رفض التعليم
د) دعم الفوضى",أ
امطخه,يعني قبله ( بتشديد الباء ) - تقبيل الخد.,Central,"المهمة: حدد الهدف الثقافي لكلمة 'امطخه'.
السؤال: ما الذي تعبر عنه كلمة 'امطخه' في الثقافة السعودية؟
الخيارات:
أ) تعبير عن الود والمحبة.
ب) تعبير عن الاحترام.
ج) تعبير عن الغضب.
د) تعبير عن الحزن.",أ
امعصى,تقال لشخص طلب منك طلب او غير ذلك وانت لا تريد ان تفعله تأتى بمعنى لاا,Central,"المهمة: تفسير الاستخدام الثقافي لكلمة 'امعصى'.
السؤال: كيف تعكس كلمة 'امعصى' الثقافة السعودية في التفاعل الاجتماعي؟
الخيارات:
أ) تعبر عن الاحترام للطلبات
ب) تعكس الصراحة في الرفض
ج) تعني مؤيد
د) تستخدم في المجاملات",ب
انبطح,استلقي على ظهرك,Southern,"المهمة: اشرح السياق الثقافي لاستخدام كلمة 'انبطح'.
السؤال: ما هو السياق الثقافي لكلمة 'انبطح' في اللهجة السعودية؟
الخيارات:
أ) تعبر عن الاسترخاء في البيوت
ب) تعبر عن اللعب في الساحات
ج) تعبر عن الخمول
د) تعبر عن الترقب",أ
انتا,انتا : بمعنى ( أنت ) جمله سديراويه .,Central,"المهمة: حدد أهمية 'انتا' في اللهجة السعودية.
السؤال: ما هو الشرح الثقافي لكلمة 'انتا' في اللهجة السعودية؟
الخيارات:
أ) تعبير يدل على الاحترام
ب) تعبير يستخدم في التحية
ج) تعبير يدل على الصداقة
د) تعبير يدل على الإثارة",ب
انتبزوه,هي دعوه بأن يأخذه الجن من مكانه لمكان آخر,Western,"المهمة: حدد السبب وراء استخدام كلمة 'انتبزوه' في الثقافة الحجازية.
السؤال: ما هو التفسير الثقافي لاستخدام كلمة 'انتبزوه' في اللهجة الحجازية؟
الخيارات:",أ
انتسب الغدا,اي ضع لي في صحني من الغداء او العشاء او الفطور,Central,"المهمة: حدد المعنى الثقافي للعبارة.
السؤال: ما الذي تشير إليه عبارة 'انتسب الغدا' في الثقافة السعودية؟
الخيارات:
أ) أهمية الطعام والضيافة
ب) الرغبة في الراحة والاسترخاء
ج) حب السفر والترحال
د) الحديث عن الطقس",أ
انحاش,فر هاربًا!,Central,"المهمة: فسر معنى الكلمة في سياقها الثقافي.
السؤال: ما الذي تعبر عنه كلمة 'انحاش' في الثقافة السعودية؟
الخيارات:
أ) الهروب من مسؤولية
ب) حب المغامرة
ج) الرغبة في الاستكشاف
د) التمسك بالعادات",أ
اندر,اخرج ، اندر بره ، اي : اخرج خارجا,Western,"المهمة: اختر التفسير الصحيح المرتبط بكلمة 'اندر'.
السؤال: ما المعنى الثقافي لكلمة 'اندر' في اللهجة السعودية؟
الخيارات:
أ) تعبير يدل على الخروج
ب) تعبير يدل على الدخول
ج) تعبير يدل على البقاء
د) تعبير يدل على العمل",أ
اندرقي,بمعنى اتغطي,Western,"المهمة: وضّح الفكرة الثقافية خلف كلمة 'اندرقي'.
السؤال: ما الذي تعكسه كلمة 'اندرقي' من ثقافة المجتمع الحجازي؟
الخيارات:
أ) الترحيب بالضيوف
ب) حرص على الستر والراحة
ج) التأكيد على التعليم
د) وصف الأماكن السياحية",ب
اندفق,إندَفَق: اي انسكب على الارض وتقال للسوائل,Central,"المهمة: ما الذي تعبر عنه كلمة 'اندفق' في الثقافة السعودية؟
السؤال: كيف تعكس كلمة 'اندفق' عادات المجتمع السعودي؟
الخيارات:
أ) تشير إلى الكرم عندما تُسكب القهوة.
ب) تمثل الفرح في الأعياد.
ج) تعبر عن الحزن لفقدان شيء.
د) تعكس الصعوبات في الحياة.",أ
انردج,انردج ينردج ردجا فهو منردج. وتعني السقوط على مؤخرة الرأس,General,"المهمة: اختر التفسير الثقافي الصحيح لكلمة 'انردج'.
السؤال: كيف تعكس كلمة 'انردج' بعض جوانب الثقافة السعودية؟
الخيارات:
أ) تشير إلى طريقة التحدث السريعة
ب) تعكس موقفًا طريفًا يتعرض له الأطفال
ج) تعبر عن الاحترام في المجالس
د) تشير إلى طعام شعبي",ب
انزغبت,يعني عازمينك,Southern,"المهمة: حدد التفسير الثقافي لكلمة 'انزغبت'.
السؤال: ما الذي تعكسه كلمة 'انزغبت' عن ثقافة أهل نجد؟
الخيارات:
أ) الاهتمام بالعلاقات الاجتماعية
ب) الكسل
ج) الضيافة
د) الاعتماد على الآخرين",أ
انزلع,انزلع . [ كلمة زجر بمعنى إبتعد . ] أو انقلع بالعاميه . أما المتمرس بهذه الجمله فقد يقول هنزلع بس بتبديل الالف مكانه ال ه,Central,"المهمة: اشرح وظيفة كلمة 'انزلع' في الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'انزلع' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الود والاحترام
ب) زجر لشخص غير مرغوب فيه
ج) كلمة تستخدم للترحيب
د) مفهوم لعدم التقدير",ب
انسفلو,يقصد بهذه الكلمة اشتم الشخص الذي بينك وببينه خصومه,Western,"المهمة: فسر معنى الكلمة في سياقها الثقافي.
السؤال: ما هو السياق الثقافي الذي تستخدم فيه كلمة 'انسفلو' في اللهجة السعودية؟
الخيارات:
أ) في المجالس العامة
ب) في الأحاديث اليومية
ج) في الصراعات
د) في الأفراح والمناسبات",ج
انسل,وتعني الاعزب بشكل غير طوعي(اي بغير رغبة منه ان يكون اعزبًا) وهي كلمة انجليزية الاصل incel مركبة من Involuntary celibate ؛ اي اعزب بشكل غير طوعي. نتطق اِنْسِل للمذكر و اِنْسِلَه او فِمْسِل للمؤنث,General,"المهمة: وضح التفسير الثقافي لكلمة 'انسل'.
السؤال: ما هو التفسير الثقافي لكلمة 'انسل' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الفخر بالعزوبية
ب) عدم الرغبة في الالتزام بعلاقة
ج) مفهوم إيجابي للعلاقات
د) سلوك شائع بين الشباب",ب
انشعف,تعني انصرع او بالغ في ردة في الفعل,Western,"المهمة: فسر معنى كلمة 'انشعف' في السياق الثقافي السعودي.
السؤال: كيف تعكس كلمة 'انشعف' ثقافة ردود الفعل في المجتمعات السعودية؟
الخيارات:
أ) تشير إلى البرود في المشاعر
ب) تعكس مبالغة في التعبير عن المشاعر
ج) تظهر عدم الاكتراث
د) تدل على الحكمة في التصرف",ب
انطعج,كلمة تشابه كلمة اركد او اهجد,Southern,"المهمة: قم بتفسير الثقافة المرتبطة بكلمة 'انطعج'.
السؤال: ما الذي يوحي به استخدام كلمة 'انطعج' في الثقافة الحجازية؟
الخيارات:
أ) الراحة والهدوء
ب) النشاط والحركة
ج) النظام والدقة
د) المرح واللعب",أ
انطق,انطق ماخوذ من ينطق بمعني ينضرب و تذكر علي سبيل التهزي و التسكيت عندما تقابل شخص مزعج,Western,"المهمة: حدد المعنى الثقافي للأداة اللغوية.
السؤال: ماذا تعني كلمة 'انطق' في الثقافة الحجازية؟
الخيارات:
أ) التعبير عن الضجر
ب) مشجع للنقاشات
ج) دعوة للكلام الواضح
د) تحفيز الناس للصمت",أ
انطم,اخرس، توقف عن الحديث، تقال بغضب,Central,"المهمة: شرح استخدام كلمة 'انطم' في الثقافة السعودية.
السؤال: لماذا تستخدم كلمة 'انطم' بشكل شائع في اللهجة السعودية؟
الخيارات:
أ) لأنها تدل على الاحترام
ب) لأنها تعبر عن الغضب أو الاستياء من الأحاديث الكثيرة
ج) لأنها تحث على الحوار
د) لأنها تستخدم بين الأطفال فقط",ب
انطي او انطيني,كلمة انطي وانطيت كلمه سعوديه شماليه من سكاكا وتتشابه مع باللهجه اللهجه العراقيه الفراتيه وقبائل بني حسن في الاردن,Northern,"المهمة: وضح الثقافة المرتبطة بالمصطلح.
السؤال: ماذا تعكس كلمة 'انطي او انطيني' عن الثقافة السعودية؟
الخيارات:
أ) الكرم والترحاب
ب) النزعة الفردية
ج) الانغلاق
د) الانغماس في الذات",أ
انفهق,كلمة نجدية تقال بمعنى ابتعد او اغرب عن وجهي، ويقال ايضاً انقلع.,Central,"المهمة: حدد الجملة التي تعبر عن التفسير الثقافي لكلمة 'انفهق'.
السؤال: لماذا يُستعمل المصطلح 'انفهق' في اللهجة النجدية؟
الخيارات:
أ) للتعبير عن الود
ب) للتعبير عن القرب
ج) للتعبير عن عدم الرغبة في التواصل
د) للتعبير عن الاستقبال الحار",ج
انقز,اقفز,Southern,"المهمة: فسر العبارة المستخدمة في الثقافة المحلية.
السؤال: ماذا تعني عبارة 'ليش ماتنقز' في الثقافة السعودية؟
الخيارات:
أ) لماذا لا تدرس؟
ب) لماذا لا تنام؟
ج) لماذا لا تتفاعل؟
د) لماذا لا تفعل شيئًا؟",ج
انقشع,بالغالب تعني اغرب عن وجهي .ولاكن تأتي بمعنى رفع الغطاء او القشره .,Western,"المهمة: ما هو التفسير الثقافي لكلمة 'انقشع'؟
السؤال: كيف تعكس كلمة 'انقشع' ثقافة معينة في المجتمع السعودي؟
الخيارات:
أ) تعبر عن حالة من الوضوح والإزالة
ب) تعبر عن سوء الطقس
ج) تعكس الهدوء والسكينة
د) تدل على الفوضى والانزعاج",أ
انقلع,انقلع بمعنى : اذهب او اغرب عن وجهي او روح,General,"المهمة: حدد التفسير الثقافي لكلمة 'انقلع'.
السؤال: في الثقافة السعودية، ماذا تعني كلمة 'انقلع'؟
الخيارات:
أ) تعبير عن الوداع
ب) إشارة للاختلاف
ج) يأمر شخص بالرحيل
د) تعبير عن الترحيب",ج
انكتم,كلمة ( انكتم ) تعني ( اخرس او اسكت ) وهي كلمة حجازية معروفة في مكة وجدة والمدينة ،،,Western,"المهمة: اختر التفسير الأنسب لكلمة 'انكتم' في السياق السعودي.
السؤال: كيف تعكس كلمة 'انكتم' الثقافة العامة في المجتمع السعودي؟
الخيارات:
أ) تشجع على الكلام بصوت مرتفع.
ب) تظهر أهمية السكوت والاستماع.
ج) تدعو إلى الفوضى.
د) تنبه على التحدث في كل الأوقات.",ب
