Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
فيان شتروح,تعني إين ستذهب باللهجه الجيزانية,Southern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (فيان شتروح) تُستخدم في الأسلوب الرسمي المكتوب.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تكانه,والتكانه هو الشخص الذي يعتمد عليه,Eastern,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
السؤال: العبارة ""التكانه هو الشخص الذي يعتمد عليه"" صحيحة. 
الخيارات: 
A) صحيح 
B) خطأ",A
تكرنت معي,يعني عصبت و اخلاقي قفلت,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'تكرنت معي' تعني 'استمتعت بصحبتك'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أكل ومرعى وقلة صنعه,وصف حال الكسلان البليد,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أكل ومرعى وقلة صنعه' تعبر عن حالة النشاط والحيوية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هيا طير,اقلب وجهك,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (هيا طير) للدلالة على طلب المغادرة أو صرف الشخص.
الخيارات:
أ) صحيح
ب) خاطئ",أ
ياكثر هذرُه,كلامه كثير,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (ياكثر هذرُه) لوصف شخص قليل الكلام.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تهقى,تظن .,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'تهقى تعني تفهم' صحيحة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
توتو على كبوتو,كل شي بثمنه ( ماديا ),Western,"المهمة: تقييم العبارة التالية.
السؤال: عبارة 'توتو على كبوتو' تعني أن كل شيء يمكن الحصول عليه مجاناً.
الخيارات:
أ) صحيح
ب) خطأ",ب
توق غادي,انظر هناك,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'توق غادي' تعني 'اذهب إلى هناك'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
توكل على الله,بعض الاحيان تأتي بمعنى الرفض يعني اذهب وبمعنى طلب الفراق,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'توكل على الله' تستخدم فقط لتوديع الآخرين.
الخيارات:
أ) صحيح
ب) خطأ",ب
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'آزى / آزت' تستخدم للإشارة إلى الفقر.
الخيارات:
أ) صحيح
ب) خطأ",ب
تيجي معي,اذهب معي,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: عبارة ""تيجي معي"" تعني ""ابقَ هنا"". 
الخيارات: 
A) صحيح 
B) خطأ - العبارة تعني ""اذهب معي"".",B
جاعص,تعني الشخص الصَّلِف ؛ المتكبر المتعجرف.,Western,"المهمة: تحديد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'جاعص' تعني الشخص المتواضع.
الخيارات:
أ) صحيح
ب) خطأ",ب
جاك العلم,"يتخدم مصطلح "" جاك العلم "" للدلاله على ايصال معلومة ما أو خبر هام واخلاء مسئولية قائلها من اي تبعات اخرى تترتب على عدم اتباع ما ورد في الخبر او المعلومة.",General,"المهمة: تحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'جاك العلم' تستخدم للإشارة إلى نقل معلومات بدون أي تبعات.
الخيارات:
أ) صحيح
ب) خطأ",أ
جبتلي الصمرقع,الصمرقع عبارة عن مرض يصيب الإنسان و تنتج عنه حالة من الجنون. و معنى جبتلّي الصمرقع: قد أصبتني بالجنون.,Southern,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'جبتلي الصمرقع' تشير إلى شعور طبيعي.
الخيارات:
أ) صحيح
ب) خطأ",ب
جحفلك جحفله قوية,قلب الطاولة في اللحظات الأخيرة,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تعبير (جحفلك جحفله قوية) يُستخدم لوصف تغيير مفاجئ في النتيجة في آخر وقت.
الخيارات:
أ) صحيح
ب) خاطئ",أ
بدري عليك,"التحدي والاستصغار مثال إذا قال لك شخص: ""بهزمك في اللعبة""، ترد عليه: ""بدري عليك!""",General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (بدري عليك) للتعبير عن التشجيع والدعم.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جد الله عليك,جد الله عليك كثر الله خيرك ع العزمه,General,"المهمة: قم بتحديد إذا كانت العبارة التالية صحيحة أو خاطئة.
السؤال: 'جد الله عليك' تعني 'أعتذر عن تصرفي'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جدة كذا إتي وبحر,عبارة تطلق لكبير جدة الإتحاد . (إتي) إختصار لكلمة الإتحاد,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: العبارة ""جدة كذا إتي وبحر"" تُستخدم لوصف فريق الأهلي فقط. 
الخيارات: 
A) صحيح 
B) خطأ 
الجواب الصحيح: B (خطأ) - لأن العبارة تُستخدم لوصف نادي الاتحاد وليس الأهلي.",
جدة كذا اهلي وبحر .,جدة كذا اهلي وبحر معناها ان نادي الحجاز هو الاهلي,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 
الخيارات:
أ) صحيح
ب) خاطئ",ب
جعلك السلطة,تعني بأن يبتليك الله بمصيبة، تشغلك عن أذيتي,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'جعلك السلطة' تعني أنك ستشعر بالسعادة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
جعلنا ما نطرك,دعاء ان لا يصل بنا الحال الى ان نطرّك (نتشحذ منك). تقال لمن تطلب منه شي ويقدم لك القليل رغم قدرته على ان يعطيك اكثر. مثال: طلبت من ابنك يأتي لك بكأس ماء، الابن عبأ ربع الكأس بالماء فقط هنا تقول له جعلنا ما نطرك يا ولدي ليش ما عبيت الكأس كامل,Eastern,"المهمة: حدد صحة العبارة التالية: 'جعلنا ما نطرك' تعني أنه يمكن الاعتماد على الآخرين في الشؤون المالية.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",ب
جيف الباب,كلمة حجازية وتعني أجعل الباب قريب الإغلاق لكن لا تغلقه تماما أترك مسافة بسيطة,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'جيف الباب' تعني اغلق الباب تماماً.
الخيارات:
أ) صحيح
ب) خطأ",ب
محزم المليان,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: الشخص الذي يسمى 'محزم المليان' هو شخص غير موثوق.
الخيارات:
أ) صحيح
ب) خطأ",ب
حام التسبد,حام التسبد: تعني اقرف أو ازعج، أو ضجر أو سئم! ملاحظة: التسبد تعني الكبد. فأهل نجد ينطقون الكاف ب(تس). الكبد = التسبد,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'حام التسبد' تعني فرح وسعادة.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة:",
حامت كبدي,"وهي عبارة يقصد فيها التعبير عن الشعور بالضيق من أمر ما أو كلام ما، وقد تعني التقزز. هي مشهورة في نجد في السعودية، وأيضا معروفة ب ""حامت تسبدي"" هناك صيغ أخرى لهذه العبارة: حامت كبدي / حامت تسبدي يحوم الكبد / يحوم التسبد",Central,"المهمة: تحديد صحة العبارة المتعلقة بمعنى 'حامت كبدي'.
السؤال: عبارة 'حامت كبدي' تعبر عن الشعور بالسعادة؟
الخيارات:
أ) صحيح
ب) خطأ",ب
فرقاك عيد,تعني الذي وجوده مصدر إزعاج أو ضيق ، وأن غيابه أو رحيله (فراقه) هو بمثابة مناسبة سعيدة أو يوم عيد,General,"المهمة: حدّد صحة العبارة التالية.
السؤال: عبارة ""فرقاك عيد"" تُقال للشخص المحبوب عند غيابه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
حتى الميت فسى,تُقال عند تمثيل برجل انه بارد .,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'حتى الميت فسى' تُقال عند تمثيل برجل أنه نشيط.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ضف وجهك,يعني . ابتعد عني . اغرب عن وجهي .,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: التعبير 'ضف وجهك' يعني 'تعال إلي'.
الخيارات:
أ) صحيح
ب) خطأ",ب
حج البقرة على قرونها,من باب تعليق الأمر بالمحال : - حتى / لمّا تحج البقرة على قرونها - لو / إذا حجت البقرة على قرونها يُنظر في كي ينوّر الملح.,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ""عبارة 'حج البقرة على قرونها' تعني أن هناك أموراً مستحيلة قد تحدث."" 
الخيارات: 
A) صحيح 
B) خطأ 
الشرح للخطأ: ""عبارة خاطئة لأن المعنى يشير إلى الأمور غير الواقعية أو المستحيلة فقط.""",A
رح اديلو,سوف اعطيه,Western,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'رح اديلو' تعني سأعطيه.
الخيارات:
أ) صحيح
ب) خطأ",أ
حُق حُق,تستخدم إذا أردت أن تستعير شيئا من أحد وأجابك ب: لا، حقي!,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'حق حق' تعني أنه لا يمكنك استعارة شيء من شخص إذا قال: 'حقي'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
حُق صلصة,تدل على المكان الضيق جدا,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'حُق صلصة' تشير إلى مكان واسع.
الخيارات:
أ) صحيح
ب) خطأ",ب
حمار خالو,عندما يكون الشخص يتحرش بشخص قوي لايستطيع أن يجابهه فيتكلم معه باستفزاز حتى يتنرفز,Western,"المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'حمار خالو' تشير إلى شخص يواجه تحدٍ مباشر مع شخص قوي.
الخيارات:
أ) صحيح
ب) خطأ",ب
حياك الله,عبارة ترحيب,General,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'حياك الله' تستخدم لتحية الناس.
الخيارات:
أ) صحيح
ب) خطأ",أ
حيلهم بينهم,"حِيلهم بِينهم ، عبارة تعني ان مشاكلهم بينهم نظراً لتشاركهم في قوة مشتركة ""حيل"" فتكبّدها سيكون بينهم ايضاً",General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'حيلهم بينهم' تشير إلى أن مشاكلهم ناتجة عن القوة المشتركة بينهم.
الخيارات:
أ) صح
ب) خطأ",أ
خاربة خاربة,تقال وقت المأساة وعدم المبالاة وتعني إذا الموضوع فقد الأمل منه إذاً ليس علي أن اهتم أو أعمل شيء لأن الموضوع سوف يكون معدوم بوجود أو بعدم وجود مجهودي.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'خاربة خاربة' تعني أنه يجب علينا أن نهتم بالمواضيع حتى وإن كانت سلبية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
خاز باز,الخاز باز هذا غير المعروف في الفصحي.هذا في العاميه يعني ((الاشكالات السرية بين شخصين لا يستطيعان الكشف عنها للاخرين )) هذا تقريبي ومختصر والله اعلم,Western,"المهمة: تحديد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'خاز باز' تعني المشاكل التي يستطيع الشخصان الحديث عنها علنا.
الخيارات:
أ) صح
ب) خطأ",ب
خِبْت عليك,تقال عند الاصابة بالإحباط عند عدم تحقيق هدف معيّن أو الخطأ في عمل أمر سهل.,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'خِبْت عليك' تعني الشعور بالراحة بعد تحقيق هدف.
الخيارات:
أ) صحيح
ب) خطأ",ب
خراط مشمش,الكاذب,Central,"المهمة: قم بتحديد صحة العبارة التالية.
السؤال: عبارة 'خراط مشمش' تشير إلى شخص صادق.
الخيارات:
أ) صحيح
ب) خطأ",ب
ريحه عطبة,هي مفردة حساويه وتعني ربحه النايلون عندما يحترق مثل اسلاك كهربائية,Eastern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (ريحة عطبة) تُستخدم لوصف رائحة عطر قوية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'خِرِّي مِرِّي' تعني عدم الرغبة في الذهاب إلى السوق.
الخيارات:
أ) صحيح
ب) خطأ",ب
زكن عليه,اكدعليه,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (زكن عليه) بمعنى تجاهله وتركه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
طول حسي,طول صوتي فلان تهاوش طول حسه طول صوته,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'خليك انت المأذون اللى عم جدوروا عليه' تعني 'كن خارجاً عن المأذون'؟
الخيارات:
أ) صحيح
ب) خطأ",ب
خندريس,تقال للشخص الخبيث,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: الكلمة 'خندريس' تُستخدم لوصف الشخص الطيب.
الخيارات:
أ) صحيح
ب) خطأ",ب
خيطي بيطي,الشيء الذي لا معنى له يقال له خيطي بيطي,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'خيطي بيطي' تعني شيء له قيمة كبيرة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اشرب بشويش,اشرب ببطئ,Southern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (اشرب بشويش) للحث على الشرب بسرعة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
قلبت كبدي, أضجرتني ورفعت ضغطي,Southern,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: عبارة ""قلبت كبدي"" تعني ""أضجرتني ورفعت ضغطي"". 
الخيارات: 
A) صحيح 
B) خطأ",A
دبو جف نحرك,يعني الجن يدخلون في حلقك,Southern,"المهمة: قيم الجملة التالية.
السؤال: عبارة 'دبو جف نحرك' تعني أن الجن يدخلون في حلقك.
الخيارات:
أ) صحيح
ب) خطأ",أ
دجاجةٍ صقعه,اختلف في اصل الكلمة لكن تتداول بين أهل نجد للإشارة إلى غباء أحدهم.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: مصطلح 'دجاجةٍ صقعه' يُستخدم للدلالة على الذكاء.
الخيارات:
أ) صحيح
ب) خطأ",ب
أقلزز,ويعني انا افهم,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أقلزز' تعني 'أنا لا أفهم'.
الخيارات:
أ) صحيح
ب) خطأ",ب
عاش من شافك,يعيش من رآك,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة:
السؤال: عبارة 'عاش من شافك' تعني أنك ستعيش طويلاً بعد رؤية شخص ما.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أًفْلِح,أًفْلِح : أي بمعنى سوف أذهب .!,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أًفْلِح' تعني 'سوف أذهب'؟
الخيارات:
أ) صحيحة
ب) خاطئة",أ
دخلو في شدقك,هي كلمه تقال للدعاء على أحد ما بدخول الجن في فمه,Southern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'دخلو في شدقك' تستخدم للدعاء للآخرين بالخير.
الخيارات:
أ) صحيح
ب) خطأ",ب
دخلوا في نحرك,"((دخلو في نحرك)). كلمة جنووبيةة بمعنى:فليدخلوا في نحرك بعضُ من الجن وتستخدم عند الغضب من الشخص ||كمثل إستخدام || ""سبعة شلوك"" وإسم الإشارة للغائب: دخلووا في نحره وهناك من يضيف عليها بعض الكلمات مثل ((دخلو في نحرك برجلي)) أو برجل فلان وفلان.",Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'دخلوا في نحرك' تستخدم عند الغضب.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'عاقد النونه' تشير إلى شخص مبتسم.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
أنت درو,يعني غبي,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: هل عبارة 'أنت درو' تعني ذكي؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
دروإييت,خذ دوره وارجع الينا,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'دروإييت' تعني 'اجلس وفكر'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
دفه,ادفعه,Central,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.
- السؤال: العبارة ""دفه"" تستخدم للإشارة إلى السحب وليس الدفع.
- الاختيارات: 
 A) صحيح 
 B) خطأ 
- - ""دفه"" تعني ""ادفعه""، وليست ""اسحبه"".",B
دق الولد,"والبعض يقول ""ولِّد"" وهي طريقة عادلة لتحديد من سيقوم باللعب في لعبة البلوت الشعبية وذلك عن طريق توزيع الورق مكشوفاً امام الجميع ما بين الشخصين المراد الاختيار ما بينهما(او اكثر ) والشخص الذي يظهر له اول ولد اوJack يكون له الاحقية باللعب .",General,"المهمة: تقييم صحة العبارة بناءً على المعلومات المقدمة.
السؤال: العبارة 'دق الولد' تشير إلى طريقة اختيار اللاعب في لعبة البلوت.
الخيارات:
أ) صحيح
ب) خطأ",أ
علام دينك,كلمة تقال في منطقة تبوك بمعنى ماذا بك؟ اخبرني ماذا بك؟ هل انت على ما يرام؟ وهي تأتي كأسلوب وقح، مثلًا شخص صدم سيارتك تخرج من سيارتك و تقول: علام دينك! أو: علام دين دين دينك!,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'علام دينك' تعني 'ما هو اسمك؟'
الخيارات:
أ) صحيح
ب) خاطئ",ب
دلك النحاس,"دلك من التدليك النحاس وهو الصحون و الاواني المطبخية فزمان كان الاواني من نحاس, فبعد الاستعمال من الاكل و الطبيخ نقول: دلك النحاس, بمعنى اغسل الصحون وما الى ذلك من الاواني المطبخية",Western,"المهمة: حدد مدى صحة العبارة التالية.
السؤال: عبارة 'دلك النحاس' تشير إلى تنظيف الأواني المعدنية.
الخيارات:
أ) صحيح
ب) خطأ",أ
دمه ثقيل,كناية عن الشخص الثقيل الظل الذي لا يُرغب فيه ،,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: التعبير 'دمه ثقيل' يُستخدم لوصف الشخص المرح.
الخيارات:
أ) صحيح
ب) خطأ",ب
يلا نطلع كِشْتة,يلا نطلع نزهه او طلعه او تخييم,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (يلا نطلع كِشْتة) للدعوة إلى نزهة أو طلعة خارجية.
الخيارات:
أ) صحيح
ب) خاطئ",أ
دواء غسيل,مصطلح دارج في الحجاز من أجل وصف منظفات الكلور المستخدمة في الغسيل (مثال: كلوركس),Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'دواء غسيل' تشير إلى نوع من الأدوية الطبية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
دوخلتي حجي بي,أنشودة تراثية تقال في مهرجان الدوخلة بالشرقية ، دائماً يقولها الأطفال طيلة أيام المهرجان ، ولقيت الأنشودة إعجاباً من زوار المهرجان مما دفع المنشد صالح المؤمن إلى إنشادها .,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'دوخلتي حجي بي' تُستخدم في جميع أنحاء المملكة.
الخيارات:
أ) صحيح
ب) خطأ",ب
شرواك الطيب,كلمة شكر على حديث مفتوح، عندما يُقال إن فلان شرواك بالخير، أي يشبهك في عمل الخير، فيرد الشّخص شاكرًا له شرواك الطيب.,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (شرواك الطيب) للرد على المدح والشكر.
الخيارات:
أ) صحيح
ب) خاطئ",أ
ولد العكاريت,ولد العكاريت تقال للمراهق المتمرّد على أهله ، وأظنها من العفاريت أو من عكر : ذكر ابن دريد : تعاكر القوم: اختلطوا في خصومةٍ أو نَحْوها. أو المعكرين صفو شيء ما فهو ابنهم,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة دون أية ملاحظات.
السؤال: العبارة التالية صحيحة أم خطأ: ""يستخدم مصطلح ""ولد العكاريت"" للإشارة إلى الشخص الطائع."" 
الخيارات: 
A) صحيح 
B) خطأ",B
راس كلب,عندما ييقابل شخص أحد أصدقائه ولم يره منذ زمن فأول كلمة يقولها له (رأس كلب),Western,"المهمة: حدد صحة العبارة المتعلقة بمعنى 'راس كلب'.
السؤال: تعبير 'راس كلب' يستخدم للتعبير عن الود والترحيب عند لقاء الأصدقاء بعد غياب طويل.
الخيارات:
أ) صحيح
ب) خطأ",أ
أبلشتنا,من الإزعاج و تكرار استخدام نفس الأشياء,Central,"المهمة: حدد ما إذا كانت الجملة صحيحة أم خاطئة.
السؤال: العبارة 'أبلشتنا' تعني الاستمتاع بشيء ما.
الخيارات:
أ) صحيح
ب) خطأ",ب
رايق رايق,يعني بالرااحة وبكل سهوولة.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خطأ.
السؤال: عبارة 'رايق رايق' تعني الشعور بالتعب والإرهاق.
الخيارات:
أ) صحيح
ب) خطأ",ب
بلا بكش, بلا كذب,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (بلا بكش) للتأكيد على أن الكلام صادق وغير مكذوب.
الخيارات:
أ) صحيح
ب) خاطئ",أ
رجعنا على طير يلي,تقال عند رجوع المخاطَب الى عادة (سلبية) قد تركها منذ فترة، بنبرة استفهامية تعجبية.,Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أو خاطئة.
السؤال: 'رجعنا على طير يلي' تُستخدم عند الإشارة إلى العودة إلى عادة إيجابية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أزرد ,هي كلمة قديمة من بادية الحجاز أزرد أو أزرده بمعنى أخنق أو أخنقه والمشابه لها أداة قطع الكهرباء الزرادية,Western,"المهمة: قم بتحديد صحة العبارة المتعلقة بكلمة 'أزرد'.
السؤال: عبارة 'أزرد' تعني التقطيع.
الخيارات:
أ) صحيح
ب) خطأ",ب
رحم الله والديك,رحم الله والديك : دعاء يستخدم بكثرة عند الحساوية (الاحسائين : نسبة الى الأحساء) للشخص الذي يصنع معروفا للطرف الاخر,Eastern,"المهمة: حدد صحة العبارة التالية: 'رحم الله والديك' تستخدم فقط في مناطق معينة من المملكة.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيحة
ب) خاطئة",أ
رطرط في رطرط,تقال للي ماعنده سالفة,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'رطرط في رطرط' تستخدم لوصف الشخص الذي لديه الكثير من الأمور المهمة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
رفقًا بهم,جملة تطلق على الاشخاص او الشخص الذي لا يفهم المصطلحات او الاحداث الرائجة بين الناس.,General,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'رفقًا بهم' تستخدم عند الحديث عن الأشخاص الذين يفهمون المصطلحات بشكل جيد.
الخيارات:
أ) صحيح
ب) خطأ",ب
روح رياضيه,اي متقبل ولا يزعل,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'روح رياضيه' تعني عدم الاهتمام بالمنافسة.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
روّق المنجا,عبارة تقال للشخص عندما يُطلب منه الهدوء و الكف عن النرفزة.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'روّق المنجا' تعني اطلب من الشخص أن يتحمس.
الخيارات:
أ) صحيح
ب) خاطئ",ب
شكله زاحف,هي مرحلة متقدمة من اللا مبالاة وتصيب غالبا المراهقين,Central,"المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: عبارة ""شكله زاحف"" تشير إلى مرحلة متقدمة من الانخراط الاجتماعي. 
الخيارات: 
A) صحيح 
B) خطأ",B
هيا خدلك,معنى هذا الناقص ! ... وتستعمل الكلمة للإستغراب .,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (هيا خدلك) للتعبير عن الاستغراب والاستهجان أحيانًا.
الخيارات:
أ) صحيح
ب) خاطئ",أ
زقت معه,زقت معه أي عصب وقفلت اخلاقه زقت معي أي عصبت,Central,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية.
- السؤال: العبارة ""زقت معه"" تعني أن الشخص فقد هدوءه. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
-",A
وش تيد,بمعني وش تبغى,Northern,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""وش تِيد؟"" تعني ""أين كنت؟"".
الخيارات:
أ) صحيح
ب) خاطئ",ب
خلك رزين,دعوة للثبات والهدوء وترك الحركات الطائشة.,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُقال عبارة (خلك رزين) للحث على الهدوء والثبات.
الخيارات:
أ) صحيح
ب) خاطئ",أ
انثبر هنا ,كلمة قوية جداً وحازمة تعني اجلس هنا مكانك واسكت,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: تُستخدم عبارة (انثبر هنا) للتأكيد على الجلوس في المكان مع الصمت وبأسلوب حازم.
الخيارات:
أ) صحيح
ب) خاطئ",أ
