Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
تسوق امها يافقي,هل تستهبل علي ايه الغبي؟,Western,"المهمة: حدد المعنى الصحيح للعبارة 'تسوق امها يافقي'.
السؤال: ما هو المعنى الذي تعبر عنه العبارة 'تسوق امها يافقي'؟
الخيارات:
أ) هل تستهبل علي ايه الغبي؟
ب) هل تساعدني؟
ج) هل هناك مشكلة؟
د) هل تهتم بشيء؟",أ
فيان شتروح,تعني إين ستذهب باللهجه الجيزانية,Southern,"المهمة: حدد المعنى الصحيح لعبارة (فيان شتروح).
السؤال: ما المقصود من عبارة (فيان شتروح)؟
الخيارات:
أ) لماذا تأخرت
ب) أين ستذهب
ج) متى ستعود
د) من الذي أرسلك",ب
تكانه,والتكانه هو الشخص الذي يعتمد عليه,Eastern,"المهمة: اختر التعريف الصحيح لكلمة 'تكانه'.
السؤال: ما هو معنى كلمة 'تكانه'؟
الخيارات:
أ) شخص يعتمد عليه
ب) شخص موثوق به
ج) شخص غير موثوق
د) شخص غير مهم",أ
تكرنت معي,يعني عصبت و اخلاقي قفلت,Western,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""تكرنت معي""؟ 
الخيارات: 
A) تعني أنني شعرت بالسعادة 
B) تعني أنني عصبت و أخلاقي قفلت 
C) تعني أنني أحتاج لمساعدة 
D) تعني أنني كنت مشغولاً",B
أكل ومرعى وقلة صنعه,وصف حال الكسلان البليد,Western,"المهمة: حدد المعنى الصحيح للعبارة 'أكل ومرعى وقلة صنعه'.
السؤال: ما هو المعنى الدقيق للعبارة 'أكل ومرعى وقلة صنعه'?
الخيارات:
أ) وصف حال الكسلان البليد
ب) وصف حياة الفلاحين
ج) دعوة للعمل الجاد
د) تعبير عن الرفاهية",أ
هيا طير,اقلب وجهك,Western,"المهمة: حدد المعنى الصحيح لعبارة (هيا طير).
السؤال: ما المقصود من عبارة (هيا طير)؟
الخيارات:
أ) تعال بسرعة
ب) اقلب وجهك أو اذهب
ج) اجلس وانتظر
د) انتبه للموضوع",ب
ياكثر هذرُه,كلامه كثير,Central,"المهمة: حدد المعنى الصحيح لعبارة (ياكثر هذرُه).
السؤال: ما المقصود بعبارة (ياكثر هذرُه)؟
الخيارات:
أ) كلامه مختصر
ب) كلامه كثير
ج) كلامه رسمي
د) كلامه حكيم",ب
تهقى,تظن .,Central,"المهمة: اختر المعنى الصحيح لكلمة 'تهقى'.
السؤال: ما هو المعنى الصحيح لكلمة 'تهقى'؟
الخيارات:
أ) تظن
ب) تفكر
ج) تعمل
د) تتعب",أ
توتو على كبوتو,كل شي بثمنه ( ماديا ),Western,"المهمة: حدد المعنى الصحيح لعبارة 'توتو على كبوتو'.
السؤال: ما هو المعنى المقصود من عبارة 'توتو على كبوتو'؟
الخيارات:
أ) كل شي ببلاش
ب) كل شي بثمنه
ج) كل شي مستهلك
د) كل شي متاح",ب
توق غادي,انظر هناك,Western,"المهمة: حدد معنى العبارة 'توق غادي'.
السؤال: ما هو المعنى الصحيح لعبارة 'توق غادي'؟
الخيارات:
أ) انظر هنا
ب) انظر هناك
ج) اذهب بعيداً
د) انتظر قليلاً",ب
توكل على الله,بعض الاحيان تأتي بمعنى الرفض يعني اذهب وبمعنى طلب الفراق,General,"المهمة: حدد المعنى الصحيح لعبارة 'توكل على الله'.
السؤال: ما معنى عبارة 'توكل على الله'؟
الخيارات:
أ) تفضيل الفراق
ب) طلب المساعدة
ج) موافقة واستعداد
د) استسلام للأمر",ج
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: حدد المعنى الصحيح لكلمة 'آزى / آزت'.
السؤال: ما معنى كلمة 'آزى / آزت'؟
الخيارات:
أ) تعني كفى وسد الحاجة
ب) تعني قليلة
ج) تعني جميلة
د) تعني مشغولة",أ
تيجي معي,اذهب معي,Central,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""تيجي معي""؟ 
الخيارات: 
A) اذهب معي 
B) لا تأتِ معي 
C) استرح هنا 
D) أريد الذهاب",A
جاعص,تعني الشخص الصَّلِف ؛ المتكبر المتعجرف.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'جاعص'.
السؤال: ماذا تعني كلمة 'جاعص'؟
الخيارات:
أ) شخص كريم
ب) شخص لصوصي
ج) شخص متكبر
د) شخص خجول",ج
جاك العلم,"يتخدم مصطلح "" جاك العلم "" للدلاله على ايصال معلومة ما أو خبر هام واخلاء مسئولية قائلها من اي تبعات اخرى تترتب على عدم اتباع ما ورد في الخبر او المعلومة.",General,"المهمة: حدد المعنى الصحيح للمصطلح.
السؤال: ما معنى عبارة 'جاك العلم'؟
الخيارات:
أ) إبلاغ شخص بمعلومات مهمة
ب) إخفاء المعلومات
ج) إخبار شخص بحدث سعيد
د) عدم المسؤولية عن المعلومات",أ
جبتلي الصمرقع,الصمرقع عبارة عن مرض يصيب الإنسان و تنتج عنه حالة من الجنون. و معنى جبتلّي الصمرقع: قد أصبتني بالجنون.,Southern,"المهمة: حدد المعنى الصحيح لعبارة الصمرقع.
السؤال: ما معنى عبارة 'جبتلي الصمرقع'؟
الخيارات:
أ) أصبتني بالجنون
ب) أعطيتني شيئاً
ج) دعوتني للعب
د) ساعدتني في العمل",أ
جحفلك جحفله قوية,قلب الطاولة في اللحظات الأخيرة,Western,"المهمة: حدد المعنى الصحيح لعبارة (جحفلك جحفله قوية).
السؤال: ما المقصود من عبارة (جحفلك جحفله قوية)؟
الخيارات:
أ) الاستسلام السريع
ب) قلب الطاولة في اللحظات الأخيرة
ج) الانتظار بدون تصرف
د) بدء الأمر من جديد",ب
بدري عليك,"التحدي والاستصغار مثال إذا قال لك شخص: ""بهزمك في اللعبة""، ترد عليه: ""بدري عليك!""",General,"المهمة: حدد المعنى الصحيح لعبارة (بدري عليك).
السؤال: ما المعنى الأقرب لعبارة (بدري عليك)؟
الخيارات:
أ) أحسنت
ب) ما زال الوقت مبكرًا عليك ولا تقدر
ج) تفضل ابدأ
د) لا مشكلة",ب
جد الله عليك,جد الله عليك كثر الله خيرك ع العزمه,General,"المهمة: حدد المعنى الصحيح لعبارة 'جد الله عليك'.
السؤال: ما هو المعنى المقصود من عبارة 'جد الله عليك'?
الخيارات:
أ) كثر الله خيرك ع العزمه
ب) أعتذر عن تصرفي
ج) أحتاج إلى المساعدة
د) ابقَ معي",أ
جدة كذا إتي وبحر,عبارة تطلق لكبير جدة الإتحاد . (إتي) إختصار لكلمة الإتحاد,Western,"المهمة: حدد المعنى الصحيح لعبارة 'جدة إتي وبحر'.
السؤال: ما هو المعنى المقصود من 'جدة إتي وبحر'؟
الخيارات:
أ) تعبير عن الطقس الجميل في جدة.
ب) عبارة عن نادي الإتحاد في جدة.
ج) دلالة على ساحل البحر الأحمر.
د) تعبير عن العناصر الثقافية في المدينة.",ب
جدة كذا اهلي وبحر .,جدة كذا اهلي وبحر معناها ان نادي الحجاز هو الاهلي,Western,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ماذا تعني العبارة 'جدة كذا اهلي وبحر'؟
الخيارات:
أ) تعني أن جدة تحتضن البحر وتعتبر مركزًا رياضيًا.
ب) تعني أن المدينة تملك فريقًا ضعيفًا.
ج) تعني أن نادي الحجاز هو الأهلي والبس كبير جدة.
د) تعني أن جدة ليس لها علاقة بالرياضة.",ج
جعلك السلطة,تعني بأن يبتليك الله بمصيبة، تشغلك عن أذيتي,Northern,"المهمة: اختر المعنى الصحيح للعبارة 'جعلك السلطة'.
السؤال: ما معنى عبارة 'جعلك السلطة'؟
الخيارات:
أ) تعني أن يبتليك الله بمصيبة تشغلك عن أذيتي
ب) تعني أن الشخص سوف يصبح قويًا
ج) تعني توقف عن الحكمة
د) تعني أنك تسير في طاعة",أ
جعلنا ما نطرك,دعاء ان لا يصل بنا الحال الى ان نطرّك (نتشحذ منك). تقال لمن تطلب منه شي ويقدم لك القليل رغم قدرته على ان يعطيك اكثر. مثال: طلبت من ابنك يأتي لك بكأس ماء، الابن عبأ ربع الكأس بالماء فقط هنا تقول له جعلنا ما نطرك يا ولدي ليش ما عبيت الكأس كامل,Eastern,"المهمة: حدد المعنى الصحيح لعبارة 'جعلنا ما نطرك'.
السؤال: ماذا تعني عبارة 'جعلنا ما نطرك'؟
الخيارات:
أ) الدعاء بعدم الحاجة إلى الشحاذة من الآخرين
ب) الإلحاح في الطلب
ج) الاستغناء عن المساعدة
د) تقديم العون",أ
جيف الباب,كلمة حجازية وتعني أجعل الباب قريب الإغلاق لكن لا تغلقه تماما أترك مسافة بسيطة,Western,"المهمة: حدد المعنى الصحيح لكلمة 'جيف الباب'.
السؤال: ماذا تعني كلمة 'جيف الباب'؟
الخيارات:
أ) أغلق الباب تماماً
ب) اجعل الباب قريب الإغلاق ولكن اترك مسافة بسيطة
ج) افتح الباب على مصراعيه
د) اضرب على الباب",ب
محزم المليان,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,Southern,"المهمة: حدد المعنى الصحيح لعبارة 'محزم المليان'.
السؤال: ماذا تعني عبارة 'محزم المليان'؟
الخيارات:
أ) شخص ضعيف
ب) شخص يعتمد عليه في الصعوبات
ج) شخص غير موثوق
د) شخص سريع الغضب",ب
حام التسبد,حام التسبد: تعني اقرف أو ازعج، أو ضجر أو سئم! ملاحظة: التسبد تعني الكبد. فأهل نجد ينطقون الكاف ب(تس). الكبد = التسبد,Central,"المهمة: حدد المعنى الصحيح لعبارة 'حام التسبد'.
السؤال: ماذا تعني عبارة 'حام التسبد'؟
الخيارات:
أ) أشعر بالسعادة
ب) أشعر بالضجر
ج) أشعر بالراحة
د) أشعر بالجوع",ب
حامت كبدي,"وهي عبارة يقصد فيها التعبير عن الشعور بالضيق من أمر ما أو كلام ما، وقد تعني التقزز. هي مشهورة في نجد في السعودية، وأيضا معروفة ب ""حامت تسبدي"" هناك صيغ أخرى لهذه العبارة: حامت كبدي / حامت تسبدي يحوم الكبد / يحوم التسبد",Central,"المهمة: تحديد المعنى الصحيح لعبارة 'حامت كبدي'.
السؤال: ما هو المعنى المقصود من عبارة 'حامت كبدي'؟
الخيارات:
أ) الإحساس بالراحة
ب) الشعور بالضيق
ج) العزيمة القوية
د) الحب والحنان",ب
فرقاك عيد,تعني الذي وجوده مصدر إزعاج أو ضيق ، وأن غيابه أو رحيله (فراقه) هو بمثابة مناسبة سعيدة أو يوم عيد,General,"المهمة: حدد ما معنى العبارة التالية.
السؤال: ماذا تعني عبارة ""فرقاك عيد"" في اللهجة العامية؟
الخيارات:
أ) غيابك يجعلنا نحزن
ب) غيابك فرحة وكأنه يوم عيد
ج) وجودك مهم جدًا
د) أنت دائمًا محبوب",ب
حتى الميت فسى,تُقال عند تمثيل برجل انه بارد .,Western,"المهمة: اختر المعنى الصحيح لعبارة 'حتى الميت فسى'.
السؤال: ما معنى عبارة 'حتى الميت فسى'؟
الخيارات:
أ) تُقال عند تمثيل برجل أنه بارد.
ب) تعبر عن الفرح الشديد.
ج) تُستخدم عند اللقاء بأصدقاء.
د) تعبر عن الحزن الشديد.",أ
ضف وجهك,يعني . ابتعد عني . اغرب عن وجهي .,General,"المهمة: حدد المعنى الصحيح للتعبير 'ضف وجهك'.
السؤال: ما الذي يعنيه التعبير 'ضف وجهك'؟
الخيارات:
أ) تعال هنا
ب) ابتعد عني
ج) اجلس معي
د) اذهب للنوم",ب
حج البقرة على قرونها,من باب تعليق الأمر بالمحال : - حتى / لمّا تحج البقرة على قرونها - لو / إذا حجت البقرة على قرونها يُنظر في كي ينوّر الملح.,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""حج البقرة على قرونها""؟ 
الخيارات: 
A) عندما تتحقق المستحيلات. 
B) عندما يحتفل الناس بالعيد. 
C) عندما يتفق الجميع على أمر واحد. 
D) عندما يُشاهد الناس نجوم السماء.",A
رح اديلو,سوف اعطيه,Western,"المهمة: تحديد معنى العبارة في السياق.
السؤال: ما معنى عبارة 'رح اديلو'  في اللهجة الحجازية؟
الخيارات:
أ) سوف أعطيه
ب) سأأخذه
ج) سأشتريه
د) سأبحث عنه",أ
حُق حُق,تستخدم إذا أردت أن تستعير شيئا من أحد وأجابك ب: لا، حقي!,Western,"المهمة: اختر المعنى الصحيح لعبارة 'حق حق'.
السؤال: ماذا تعني عبارة 'حق حق' في اللهجة السعودية؟
الخيارات:
أ) للتعبير عن الندم
ب) تستخدم إذا أردت أن تستعير شيئا من أحد وأجابك ب: لا، حقي!
ج) للتعبير عن الشكر
د) للتهديد",ب
حُق صلصة,تدل على المكان الضيق جدا,Western,"المهمة: حدد المعنى الصحيح لعبارة 'حُق صلصة'.
السؤال: ماذا تعني عبارة 'حُق صلصة'؟
الخيارات:
أ) قاعة كبيرة
ب) مكان ضيق جدا
ج) حديقة منزلية
د) غرفة طعام",ب
حمار خالو,عندما يكون الشخص يتحرش بشخص قوي لايستطيع أن يجابهه فيتكلم معه باستفزاز حتى يتنرفز,Western,"المهمة: حدد المعنى الصحيح لعبارة 'حمار خالو'.
السؤال: ماذا تعني عبارة 'حمار خالو'؟
الخيارات:
أ) شخص ضعيف
ب) شخص يتعفف
ج) شخص يتحرش بشخص قوي
د) شخص سريع الغضب",ج
حياك الله,عبارة ترحيب,General,"المهمة: حدد المعنى الصحيح لعبارة 'حياك الله'.
السؤال: ما هو المعنى الصحيح لعبارة 'حياك الله'؟
الخيارات:
أ) كيف حالك
ب) أهلاً وسهلاً
ج) إلى اللقاء
د) مع السلامة",أ
حيلهم بينهم,"حِيلهم بِينهم ، عبارة تعني ان مشاكلهم بينهم نظراً لتشاركهم في قوة مشتركة ""حيل"" فتكبّدها سيكون بينهم ايضاً",General,"المهمة: حدد المعنى الصحيح لعبارة 'حيلهم بينهم'.
السؤال: ماذا تعني العبارة 'حيلهم بينهم'؟
الخيارات:
أ) مشاكلهم بينهم بسبب تكلمهم عن الآخرين
ب) تعني أنهم يتعاونون من أجل حل مشاكلهم
ج) لا توجد مشاكل بينهم
د) تعني أن مشكلاتهم نشأت بعيداً عنهم",ب
خاربة خاربة,تقال وقت المأساة وعدم المبالاة وتعني إذا الموضوع فقد الأمل منه إذاً ليس علي أن اهتم أو أعمل شيء لأن الموضوع سوف يكون معدوم بوجود أو بعدم وجود مجهودي.,General,"المهمة: حدد المعنى الصحيح للعبارة 'خاربة خاربة'.
السؤال: ماذا تعني عبارة 'خاربة خاربة'؟
الخيارات:
أ) تعني الشغف والاهتمام
ب) تعني فقدان الأمل وعدم المبالاة
ج) تعني الوضع المريح والهادئ
د) تعني السعادة والراحة",ب
خاز باز,الخاز باز هذا غير المعروف في الفصحي.هذا في العاميه يعني ((الاشكالات السرية بين شخصين لا يستطيعان الكشف عنها للاخرين )) هذا تقريبي ومختصر والله اعلم,Western,"المهمة: حدد المعنى الصحيح لعبارة 'خاز باز'.
السؤال: ما هو المعنى المقصود بعبارة 'خاز باز'؟
الخيارات:
أ) الأحاديث السياسية
ب) الإشكالات السرية
ج) الشائعات الشعبية
د) الأصدقاء الحميمون",ب
خِبْت عليك,تقال عند الاصابة بالإحباط عند عدم تحقيق هدف معيّن أو الخطأ في عمل أمر سهل.,Western,"المهمة: اختر المعنى الصحيح لعبارة 'خِبْت عليك'.
السؤال: ماذا تعني عبارة 'خِبْت عليك'؟
الخيارات:
أ) أسعدتك
ب) أصبت بالإحباط
ج) نجحت في عملك
د) تذمرت من شيء",ب
خراط مشمش,الكاذب,Central,"المهمة: اختر المعنى الصحيح لعبارة 'خراط مشمش'.
السؤال: ما هو المعنى الصحيح لعبارة 'خراط مشمش'؟
الخيارات:
أ) الكاذب
ب) الصادق
ج) المخلص
د) الشجاع",أ
ريحه عطبة,هي مفردة حساويه وتعني ربحه النايلون عندما يحترق مثل اسلاك كهربائية,Eastern,"المهمة: حدد المعنى الصحيح لعبارة (ريحة عطبة).
السؤال: ما المقصود من عبارة (ريحة عطبة)؟
الخيارات:
أ) رائحة عطر
ب) رائحة دخان عادي
ج) رائحة احتراق البلاستيك أو النايلون
د) رائحة طعام",ج
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"المهمة: حدد المعنى الصحيح لعبارة 'خِرِّي مِرِّي'.
السؤال: ما معنى عبارة 'خِرِّي مِرِّي'؟
الخيارات:
أ) ذاهب وعائد
ب) ران على السوق
ج) غير موجود
د) معطل",أ
زكن عليه,اكدعليه,Central,"المهمة: حدد المعنى الصحيح لعبارة (زكن عليه).
السؤال: ما المقصود بعبارة (زكن عليه)؟
الخيارات:
أ) شكره
ب) أكد عليه وألحّ
ج) ابتعد عنه
د) سخر منه",ب
طول حسي,طول صوتي فلان تهاوش طول حسه طول صوته,Northern,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى العبارة 'خليك انت المأذون اللى عم جدوروا عليه'؟
الخيارات:
أ) كن انت المأذون اللى الناس بتدور عليه
ب) لا تكن مثل المأذون
ج) احضر مع المأذون
د) اذهب إلى المأذون",أ
خندريس,تقال للشخص الخبيث,Central,"المهمة: حدد المعنى الصحيح لكلمة 'خندريس'.
السؤال: ماذا تعني كلمة 'خندريس'؟
الخيارات:
أ) شخص شجاع
ب) شخص خبيث
ج) شخص طيب
د) شخص حكيم",ب
خيطي بيطي,الشيء الذي لا معنى له يقال له خيطي بيطي,Western,"المهمة: حدد المعنى الصحيح لعبارة 'خيطي بيطي'.
السؤال: ما هو المعنى الذي يعبر عنه المصطلح 'خيطي بيطي'؟
الخيارات:
أ) شيء له معنى كبير
ب) شيء لا معنى له
ج) شيء ممتاز
د) شيء مميز",ب
اشرب بشويش,اشرب ببطئ,Southern,"المهمة: حدد المعنى الصحيح لعبارة (اشرب بشويش).
السؤال: ما المقصود من عبارة (اشرب بشويش)؟
الخيارات:
أ) اشرب بسرعة
ب) اشرب ببطء
ج) توقف عن الشرب
د) لا تشرب",ب
قلبت كبدي, أضجرتني ورفعت ضغطي,Southern,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""قلبت كبدي""؟ 
الخيارات: 
A) أفرحتني 
B) أضجرتني ورفعت ضغطي 
C) شجعتني 
D) فاجأتني",B
دبو جف نحرك,يعني الجن يدخلون في حلقك,Southern,"### نوع السؤال: معنى
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: ما معنى عبارة ""دبو جف نحرك""؟
- الخيارات: 
 A) يعني الجن يدخلون في حلقك 
 B) يعني السماء تمطر 
 C) يعني الجمل يركض بسرعة 
 D) يعني الأصدقاء يجتمعون 
-",A
دجاجةٍ صقعه,اختلف في اصل الكلمة لكن تتداول بين أهل نجد للإشارة إلى غباء أحدهم.,Central,"المهمة: حدد المعنى الصحيح لمصطلح 'دجاجةٍ صقعه'.
السؤال: ماذا يعني مصطلح 'دجاجةٍ صقعه'؟
الخيارات:
أ) شخص ذكي
ب) شخص غبي
ج) شخص طموح
د) شخص لطيف",ب
أقلزز,ويعني انا افهم,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أقلزز'.
السؤال: ما معنى كلمة 'أقلزز'؟
الخيارات:
أ) أكره
ب) أستمتع
ج) أفهم
د) أعتذر",ج
عاش من شافك,يعيش من رآك,Central,"المهمة: حدد المعنى الصحيح للجملة التالية:
السؤال: ما معنى 'عاش من شافك'؟
الخيارات:
أ) يعيش من رآك
ب) توفي من رآك
ج) أبعد من رآك
د) أحد كراهية رؤيتك",أ
أًفْلِح,أًفْلِح : أي بمعنى سوف أذهب .!,Central,"المهمة: حدد المعنى الصحيح لعبارة 'أًفْلِح'.
السؤال: ما معنى كلمة 'أًفْلِح'؟
الخيارات:
أ) سوف أذهب
ب) سأنام
ج) سأعمل
د) سأبقى",أ
دخلو في شدقك,هي كلمه تقال للدعاء على أحد ما بدخول الجن في فمه,Southern,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما هو المعنى الصحيح لعبارة 'دخلو في شدقك'؟
الخيارات:
أ) هي كلمة تقال للدعاء على أحد ما بدخول الجن في فمه
ب) هي تعبير عن الفرح والتفاؤل
ج) تعني دخول شخص إلى مكان
د) تشير إلى الخلاف بين الأصدقاء",أ
دخلوا في نحرك,"((دخلو في نحرك)). كلمة جنووبيةة بمعنى:فليدخلوا في نحرك بعضُ من الجن وتستخدم عند الغضب من الشخص ||كمثل إستخدام || ""سبعة شلوك"" وإسم الإشارة للغائب: دخلووا في نحره وهناك من يضيف عليها بعض الكلمات مثل ((دخلو في نحرك برجلي)) أو برجل فلان وفلان.",Southern,"المهمة: حدد المعنى الصحيح للعبارة 'دخلوا في نحرك'.
السؤال: ما هو معنى عبارة 'دخلوا في نحرك'؟
الخيارات:
أ) فليدخلوا في جسمك
ب) فليدخلوا في نحرك
ج) تعبير يستخدم عند الغضب
د) عبارة مرحبة",ج
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: حدد المعنى الصحيح لعبارة 'عاقد النونه'.
السؤال: ماذا تعني عبارة 'عاقد النونه'؟
الخيارات:
أ) شخص مبتسم
ب) شخص غاضب
ج) شخص قوي
د) شخص حزين",ب
أنت درو,يعني غبي,Central,"المهمة: اختر المعنى الصحيح لعبارة 'أنت درو'.
السؤال: ما هو المعنى الصحيح لعبارة 'أنت درو''؟
الخيارات:
أ) ذكي
ب) غبي
ج) شجاع
د) قوي",ب
دروإييت,خذ دوره وارجع الينا,Central,"المهمة: حدد المعنى الصحيح لعبارة 'دروإييت'.
السؤال: ما هو المعنى الصحيح للعبارة 'دروإييت'؟
الخيارات:
أ) اذهب وارجع بعدها
ب) ابق هنا
ج) خذ حذرك
د) تعال إلينا",أ
دفه,ادفعه,Central,"المهمة: اختر المعنى الصحيح لكلمة 'دفه'.
السؤال: ما هو المعنى الصحيح لكلمة 'دفه'؟
الخيارات:
أ) ادفعه
ب) اتركه
ج) احمله
د) انقله",أ
دق الولد,"والبعض يقول ""ولِّد"" وهي طريقة عادلة لتحديد من سيقوم باللعب في لعبة البلوت الشعبية وذلك عن طريق توزيع الورق مكشوفاً امام الجميع ما بين الشخصين المراد الاختيار ما بينهما(او اكثر ) والشخص الذي يظهر له اول ولد اوJack يكون له الاحقية باللعب .",General,"المهمة: تحديد المعنى الدقيق لعبارة 'دق الولد'.
السؤال: ما معنى العبارة 'دق الولد' في سياق اللعبة؟
الخيارات:
أ) إجراء قرعة لتحديد اللاعب
ب) نوع من أنواع المأكولات
ج) نقل الأغاني
د) رحلة مشي",أ
علام دينك,كلمة تقال في منطقة تبوك بمعنى ماذا بك؟ اخبرني ماذا بك؟ هل انت على ما يرام؟ وهي تأتي كأسلوب وقح، مثلًا شخص صدم سيارتك تخرج من سيارتك و تقول: علام دينك! أو: علام دين دين دينك!,Northern,"المهمة: حدد المعنى الصحيح لألفاظ اللهجة السعودية.
السؤال: ما معنى عبارة 'علام دينك'؟
الخيارات:
أ) كيف حالك؟
ب) هل أنت بخير؟
ج) ماذا بك؟
د) أين تذهب؟",ج
دلك النحاس,"دلك من التدليك النحاس وهو الصحون و الاواني المطبخية فزمان كان الاواني من نحاس, فبعد الاستعمال من الاكل و الطبيخ نقول: دلك النحاس, بمعنى اغسل الصحون وما الى ذلك من الاواني المطبخية",Western,"المهمة: حدد المعنى الصحيح لعبارة 'دلك النحاس'.
السؤال: ماذا تعني عبارة 'دلك النحاس'؟
الخيارات:
أ) غسل الصحون والأواني المطبخية
ب) طهي الطعام
ج) تجفيف الملابس
د) تنظيف المنزل",أ
دمه ثقيل,كناية عن الشخص الثقيل الظل الذي لا يُرغب فيه ،,Central,"المهمة: حدد معنى التعبير 'دمه ثقيل'.
السؤال: ماذا يعني التعبير 'دمه ثقيل'؟
الخيارات:
أ) شخص محبوب ودائم الضحك
ب) شخص ثقيل الظل ولا يُرغب فيه
ج) شخص ذكي ومؤثر
د) شخص مسلي ويحب المزاح",ب
يلا نطلع كِشْتة,يلا نطلع نزهه او طلعه او تخييم,General,"المهمة: حدد المعنى الصحيح لعبارة (يلا نطلع كِشْتة).
السؤال: ما المقصود من عبارة (يلا نطلع كِشْتة)؟
الخيارات:
أ) نبدأ العمل
ب) نذهب في نزهة أو تخييم
ج) نعود للمنزل
د) نؤجل الموعد",ب
دواء غسيل,مصطلح دارج في الحجاز من أجل وصف منظفات الكلور المستخدمة في الغسيل (مثال: كلوركس),Western,"المهمة: اختر المعنى الصحيح لعبارة 'دواء غسيل'.
السؤال: 
الخيارات:
أ) طعام شعبي
ب) منظف لملابس
ج) نوع من الأدوية
د) أداة للزراعة",ب
دوخلتي حجي بي,أنشودة تراثية تقال في مهرجان الدوخلة بالشرقية ، دائماً يقولها الأطفال طيلة أيام المهرجان ، ولقيت الأنشودة إعجاباً من زوار المهرجان مما دفع المنشد صالح المؤمن إلى إنشادها .,Eastern,"المهمة: حدد المعنى الصحيح لعبارة 'دوخلتي حجي بي'.
السؤال: ما معنى عبارة 'دوخلتي حجي بي'؟
الخيارات:
أ) أغنية شعبية للأطفال خلال مهرجان الدوخلة
ب) نوع من الحكايات القديمة
ج) وصف لمناسبة دينية
د) تعبير عن الحزن والفراق",أ
شرواك الطيب,كلمة شكر على حديث مفتوح، عندما يُقال إن فلان شرواك بالخير، أي يشبهك في عمل الخير، فيرد الشّخص شاكرًا له شرواك الطيب.,General,"المهمة: حدد المعنى الصحيح لعبارة (شرواك الطيب).
السؤال: ما المعنى الأقرب لعبارة (شرواك الطيب)؟
الخيارات:
أ) أشكرك
ب) مثلك الطيب وأنت أهل للخير
ج) انتهى الكلام
د) لا علاقة لي",ب
ولد العكاريت,ولد العكاريت تقال للمراهق المتمرّد على أهله ، وأظنها من العفاريت أو من عكر : ذكر ابن دريد : تعاكر القوم: اختلطوا في خصومةٍ أو نَحْوها. أو المعكرين صفو شيء ما فهو ابنهم,Central,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أية ملاحظات.
السؤال: ما معنى كلمة ""ولد العكاريت""؟ 
الخيارات: 
A) مراهق متمرد 
B) طفل هادئ 
C) شخص مُطيع 
D) بالغ حكيم",A
راس كلب,عندما ييقابل شخص أحد أصدقائه ولم يره منذ زمن فأول كلمة يقولها له (رأس كلب),Western,"المهمة: حدد معنى العبارة 'راس كلب'.
السؤال: ماذا تعني العبارة 'راس كلب' في اللهجة الحجازية؟
الخيارات:
أ) تعبير عن المفاجأة
ب) دعوة للجلوس
ج) ترحيب بالشخص بعد غياب
د) طلب المساعدة",ج
أبلشتنا,من الإزعاج و تكرار استخدام نفس الأشياء,Central,"المهمة: حدد المعنى الصحيح للعبارة 'أبلشتنا'.
السؤال: ما معنى كلمة 'أبلشتنا'؟
الخيارات:
أ) من الإزعاج و تكرار استخدام نفس الأشياء
ب) من الفرح والسرور
ج) من النشاط والحيوية
د) من الخوف والقلق",أ
رايق رايق,يعني بالرااحة وبكل سهوولة.,Western,"المهمة: اختر المعنى الصحيح لأداة التعبير 'رايق رايق'.
السؤال: ما معنى عبارة 'رايق رايق'؟
الخيارات:
أ) يعني مضغوط ومتعب
ب) يعني بالراحة وبكل سهولة
ج) يعني متوتر
د) يعني مشغول",ب
بلا بكش, بلا كذب,Western,"المهمة: حدد المعنى الصحيح لعبارة (بلا بكش).
السؤال: ما المقصود بعبارة (بلا بكش)؟
الخيارات:
أ) بلا مزاح
ب) بلا كذب
ج) بلا تفكير
د) بلا مبالاة",ب
