Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
ما صفطناكم,ما شبعنا منكم,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (ما صفطناكم).
السؤال: ماذا تعبر عبارة (ما صفطناكم) في السياق الاجتماعي؟
الخيارات:
أ) الملل من الأشخاص
ب) الرغبة في الابتعاد
ج) عدم الاكتفاء من الجلسة أو الأشخاص
د) الغضب الشديد",ج
الموضوع تسايد,الموضوع كبير,Central,"المهمة: اشرح المفهوم الثقافي لعبارة (الموضوع تسايد).
السؤال: ماذا تعكس عبارة (الموضوع تسايد) من الثقافة الاجتماعية؟
الخيارات:
أ) وصف أمر معقد أو كبير ويتطلب جهدًا
ب) التقليل من أهمية الموضوع
ج) السخرية من الحديث
د) الإشارة إلى أمر بسيط",أ
اها عاد,كلمة تقال عند الحساويه وتعني (هيا بسرعه ) او بالعاميه يالله بسرعه,Eastern,"المهمة: اشرح أهمية التعبير الثقافي في المجتمع السعودي.
السؤال: لماذا يستخدم الناس في السعودية عبارة 'اها عاد'؟
الخيارات:
أ) لأنها عبارة شائعة تعبر عن الدعوة للحركة
ب) لأنها تعني 'اذهب بعيداً'
ج) لأنها تستخدم فقط في المناسبات الخاصة
د) لأنها مستعارة من الثقافات الأخرى",أ
اهب ياوجهه,تعني انك تروح لشخص وتشوف معه مال او شيء وتقول له اهب يا وجهه يعني انت هنا تقصد انك تعطيه عين والعين هي من العين والحسد,General,"المهمة: فهم المعنى الثقافي للعبارة.
السؤال: ما الدلالة الثقافية لعبارة 'اهب ياوجهه' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الكرم
ب) تعبير عن الحسد
ج) تعبير عن الفخر
د) تعبير عن العتاب",ب
اهرج,اتكلم,Western,"المهمة: حدد ما تعكسه كلمة 'اهرج' عن الثقافة.
السؤال: ماذا تعكس كلمة 'اهرج' عن التفاعل الاجتماعي في المجتمع الحجازي؟
الخيارات:
أ) الانفتاح في التحدث بطريقة غير رسمية
ب) عدم الاهتمام بالتواصل
ج) أهمية الصمت
د) التركيز على الكتابة",أ
اولااه,هي كلمة ترجي أو إستعطاف ( تقابل تكفى ).,Central,"المهمة: اشرح الفهم الثقافي لكلمة 'اولااه'.
السؤال: كيف تعكس كلمة 'اولااه' ثقافة السعوديين في التواصل؟
الخيارات:
أ) تعبر عن التسلط
ب) تدل على الاحترام والطلب بلطف
ج) تعبر عن اللامبالاة
د) تشير إلى التعالي",ب
اُولّه,تستخدم في حال حدوث شي مفاجئ مثل كي لاكن تكون كتعجب,Central,"المهمة: اختر التفسير الثقافي لعبارة 'اُولّه'.
السؤال: ما هي الدلالة الثقافية لعبارة 'اُولّه' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن التعجب من المواقف الطريفة
ب) تستخدم عند اللقاء بأصدقاء
ج) تعبر عن الحزن والفراق
د) تستخدم في الأمور الرسمية",أ
اويل ويلي ويلاه,تقال عند المصيبة مثل عندما تقابل صديقك النشبه الي غصب يقلط و انت طفران جداً,Central,"المهمة: حدد السبب وراء استخدام عبارة 'اويل ويلي ويلاه' في الثقافة السعودية.
السؤال: لماذا تستخدم عبارة 'اويل ويلي ويلاه' بشكل شائع في اللهجة السعودية؟
الخيارات:
أ) للتعبير عن الفخر
ب) للتعبير عن حالة مادية صعبة
ج) للتعبير عن الحب
د) للتعبير عن الحزن",ب
ايش بامك انت,ايش بامك انت هي كلمة جداوية تعني ماذا بك او ماذا تريد,Western,"المهمة: اشرح الدلالة الثقافية لعبارة 'ايش بامك انت'.
السؤال: لماذا يستخدم السعوديون عبارة 'ايش بامك انت'؟
الخيارات:
أ) تعبير عن القلق
ب) تحية غير رسمية
ج) للتعبير عن الحزن
د) طريقة للدردشة
الإجابة الصحيحة:",
ايش بك,ماذا دهاك,General,"المهمة: حدد ما يوضح استخدام العبارة في الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لعبارة 'ايش بك'؟
الخيارات:
أ) تعبر عن القلق.
ب) تستخدم للتحية.
ج) تعكس طبيعة التواصل غير الرسمي بين الأصدقاء.
د) تستخدم في الاجتماعات الرسمية.",ج
ب خشم الريال,"عبارة جديدة دارجة وشائعة في المجتمع السعودي: ولو فككنا الكلمة وإظهارنا معناها الحرفي، سيبدو لنا التالي: خشم: تعني أنف الريال: هي العملة السعودية ""أنف الريال""؟ >> غير مفهومة؟! المعنى المجازي: هو: أي رغم أنف من لا يرضى، نشتري أي شيء نريده ب المال (الريال)",General,"المهمة: تحليل خلفية العبارة 'ب خشم الريال' في السياق الثقافي السعودي.
السؤال: ما الذي تعكسه عبارة 'ب خشم الريال' عن المجتمع السعودي؟
الخيارات:
أ) اهمية المال في الحياة اليومية
ب) عدم الرغبة في الشراء
ج) عدم الاحترام للآخرين
د) الرغبة في التوفير دائماً",أ
بارد صارد,صفة تطلق على الطعام الذي استمر فترة طويلة بعد إعداده ولم يتم تناوله نظراً لانشغال متناوليه في أمر ما.,Western,"المهمة: فكر في المعنى الثقافي للعبارة 'بارد صارد'.
السؤال: ما الذي يمكن أن يُعبر عنه استخدام المصطلح 'بارد صارد' في الثقافة السعودية؟
الخيارات:
أ) الافتخار بالطعام الشهي
ب) أهمية تناول الطعام في الوقت المناسب
ج) استحسان الطعام الحار
د) التعبير عن الجوع الشديد",ب
زردمت سبدي,زردمت سبدي اي الشعور بالغثيان,Central,"المهمة: حدد التفسير الثقافي للعبارة 'زردمت سبدي'.
السؤال: ما هو التفسير الثقافي للعبارة 'زردمت سبدي' في المجتمع السعودي؟
الخيارات:
أ) تُستخدم عند الشعور بالسعادة
ب) تُستخدم عند المرض أو الغثيان
ج) تُستخدم عند التوتر
د) تُستخدم عند الفرح",ب
ادّحدرت من الدّحديرة,اتزحلقت من النزلة,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (ادّحدرت من الدّحديرة).
السؤال: ماذا تعكس عبارة (ادّحدرت من الدّحديرة) من حيث الاستخدام اللغوي؟
الخيارات:
أ) وصف السقوط أو الانزلاق في مكان منحدر
ب) التعبير عن المشي البطيء
ج) الإشارة إلى الوقوف بثبات
د) وصف الجلوس في مكان مرتفع",أ
بس يا حمزة,تقال عند المبالغة أو الكذب الزاايد,Western,"المهمة: فهم المعنى الثقافي للعبارة.
السؤال: كيف تعكس عبارة 'بس يا حمزة' الثقافة ويعتبر استخدامها شائعاً؟
الخيارات:
أ) تعبر عن الصراحة
ب) تعكس أسلوب السخرية والمبالغة
ج) تدل على الاحترام
د) تستخدم فقط في المناسبات الرسمية",ب
سردادي مردادي,راح جاي,General,"المهمة: فسر الجملة وفقًا للسياق الثقافي.
السؤال: ماذا تعني كلمة 'سردادي مردادي' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن أنواع المأكولات
ب) تشير إلى الحركة المستمرة
ج) تتعلق بموسيقى البوب
د) تشير إلى العلاقات الاجتماعية",ب
بطّيت جبدي,كلمة شرقاوية ووايضا عند اهل الخليج وتعني: قهرتني ، نرفزتني ، طفّشتني,Eastern,"المهمة: فسر العبارة بشكل ثقافي.
السؤال: لماذا تعتبر عبارة 'بطّيت جبدي' تعبيرًا شائعًا في اللهجة السعودية؟
الخيارات:
أ) لأنها تعبر عن الإحباط والنفاذ من الصبر
ب) لأنها تعبر عن الفرح والسرور
ج) لأنها تعبر عن النجاح والإنتاجية
د) لأنها تعبر عن الحزن والخيبة",أ
بعلمك شغلك,تستخدم لتهديد يعني ساريك ,General,"المهمة: اشرح كيفية استخدام عبارة 'بعلمك شغلك' في الثقافة السعودية.
السؤال: لماذا تُستخدم عبارة ""بعلمك شغلك"" في الثقافة السعودية؟
الخيارات:
أ) للتعبير عن وعد بمساعدة شخص
ب) للتهديد أو التحذير بعد تصرف خاطئ
ج) في بداية الاجتماعات الرسمية
د) في التعبير عن الفرحة",ب
اشبك مصرفدة,لماذا مستعجلة,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (اشبك مصرفدة).
السؤال: ماذا تعبر عبارة (اشبك مصرفدة) في السياق الاجتماعي؟
الخيارات:
أ) السؤال عن سبب الاستعجال أو العجلة
ب) التعبير عن الغضب
ج) طلب التوقف
د) وصف التعب الشديد",أ
بقرة ابها,تقال للانثى الغبيّة او التي لا تحسن التصرف. استخدامها محدود,Southern,"المهمة: حدد الدور الثقافي لعبارة 'بقرة ابها'.
السؤال: كيف تعكس عبارة 'بقرة ابها' الثقافة السعودية؟
الخيارات:
أ) تشير إلى الحكمة
ب) تعبر عن انتقاد
ج) تدل على الجمال
د) تشير إلى الفخر",ب
بقعا تصوعك,بقعا:(جنيّه) مشتهرة بين أهل الجنوب. وتصوعك: أي تتلآعب فيك وتسكنك. وهي عباره منتشرة بين أهل الجنوب. وإذا وُجّهت للأنثى تصبح. (بقعا تصوعش),Southern,"المهمة: ما هو التفسير الثقافي لعبارة 'بقعا تصوعك'؟
السؤال: لماذا تُعتبر عبارة 'بقعا تصوعك' شائعة بين أهل الجنوب؟
الخيارات:
أ) لأنها تعكس طبيعة العلاقات الإنسانية
ب) لأنها تعبر عن الحزن
ج) لأنها تُستخدم في الأعمال الأدبية
د) لأنها مصطلح تقني",أ
بقعى تصوعك واخرى تروعك,جنيه تصيبك وتدخل فيك واخرى (اي الجنيه الثانيه )تخيفك,Southern,"المهمة: ماذا تعني هذه العبارة في الثقافة السعودية؟
السؤال: بالنسبة للسعوديين، ماذا تعني عبارة 'بقعى تصوعك واخرى تروعك'؟
الخيارات:
أ) تعني ضرورة الحذر من التعاملات المالية
ب) تعني أهمية السعادة في الحياة
ج) تعني البحث عن الرزق
د) تعني قيمة الأصدقاء",أ
بلا زناوه,لا تلف وتدور او لا تكذب.,Western,"المهمة: فسر المعنى الثقافي لعبارة 'بلا زناوه'.
السؤال: ما الذي تعبر عنه عبارة 'بلا زناوه' في الثقافة السعودية؟
الخيارات:
أ) أهمية الصراحة والشفافية
ب) ضرورة الصمت في المجالس
ج) تشجيع الكذب
د) عدم الاعتماد على الآخرين",أ
بلا بياخة,"صيغة مبالغة ل ""لا تستهبل""",Western,"المهمة: وضح معنى العبارة من منظور ثقافي.
السؤال: لماذا تعتبر عبارة 'بلا بياخة' شائعة في اللهجة الحجازية؟
الخيارات:
أ) لأنها تعبر عن الاستهزاء
ب) لأنها تتعلق بالخداع
ج) لأنها تعكس التواصل الواضح بين الناس
د) لأنها تعبر عن حالة من الفرح",ج
بلش يحتك,دعوة يدعى بها على أي ظالم أو مفسد وأكثر ما تستخدم عند أهل القصيم,Central,"المهمة: فسر العبارة في سياقها الثقافي.
السؤال: ما الذي يدل عليه الاستخدام الشائع لعبارة 'بلش يحتك' بين أهل القصيم؟
الخيارات:
أ) ضعف التواصل
ب) الكرم والشجاعة
ج) الإحساس بالظلم
د) التسامح مع الآخر",ج
والله أنك بلشة,بلشة بمعنى الشخص العلة الي ينشب فحلقك ويطفشك,Western,"المهمة: اشرح الخلفية الثقافية مصطلح 'والله أنك بلشة'.
السؤال: ما الذي تعكسه مصطلح 'والله أنك بلشة' في الثقافة المحلية؟
الخيارات:
أ) الكرم
ب) الزعج والإزعاج
ج) الجمال
د) التعليم",ب
بوه مير نايم,كلمه او عباره مشهوره يستخدمها القصمان الي هم اهل منطقة القصيم اولا به تنطق بوه ولي هي تعني موجود مير يعني لكن نايم تنطق نيم ول هي نائم,Central,"المهمة: افهم المعنى الثقافي وراء استخدام العبارة.
السؤال: ما الذي تعبر عنه عبارة 'بوه مير نايم' ضمن الثقافة القصيمية؟
الخيارات:
أ) الاهتمام بالوجود الاجتماعي.
ب) الاحتفال بحضور الأصدقاء.
ج) الاستياء من عدم المساعدة.
د) الاعتذار عن التأخير.",أ
بيّض الله وجهك,للثناء والشكر والرد عليها يكون ووجهك أبيض,General,"المهمة: فسر معنى هذه العبارة بشكل ثقافي.
السؤال: ماذا تعكس عبارة 'بيّض الله وجهك' عن الثقافة السعودية؟
الخيارات:
أ) تعبر عن الآتجاه العلماني
ب) تعبر عن تقدير الشخص ومساعدته
ج) تشير إلى الفخر
د) لا تعني شيئاً",ب
تبطي عظم,تعني من المستحيل ان تفعل هذا الشيء,General,"المهمة: اشرح ماذا تعني 'تبطي عظم' من خلال تفسير ثقافي.
السؤال: ماذا تعني عبارة 'تبطي عظم' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الإيجابية والتشجيع
ب) تشير إلى صعوبات تواجه الشخص
ج) تعبر عن التفاخر بالقدرات
د) تعني الفشل في تحقيق هدف",ب
تبه,تبه يعني مصيبة او انا غاضب جدا,Central,"المهمة: وضح المعنى الثقافي لكلمة 'تبه'.
السؤال: كيف تعكس كلمة 'تبه' الثقافة السعودية؟
الخيارات:
أ) تعبير عن الفرح
ب) تعبير عن الغضب
ج) تعبير عن الحب
د) تعبير عن الحزن",ب
تحثل,تحثل التراب عليا,Western,"المهمة: حدد ما تشير إليه العبارة 'تحثل' في الثقافة المحلية.
السؤال: ماذا تعني عبارة 'تحثل' في السياق الثقافي للحجاز؟
الخيارات:
أ) تجمع الغبار بعد المطر
ب) امتلاء الأواني بالماء
ج) تنظيف المكان
د) خروج الناس من المنازل",أ
تدوكر,تدوكر: لايدري ماذا يصنع,Central,"المهمة: اشرح المعنى الثقافي للكلمة.
السؤال: ما الذي تعبر عنه كلمة 'تدوكر' في الثقافة السعودية؟
الخيارات:
أ) عدم الفهم في موقف
ب) النية القوية
ج) الإبداع
د) التحفيز الذاتي
الإجابة الصحيحة:",
تراك فاتح دكان,تقال عن رؤية شق في سروال الغير.,General,"المهمة: فسر العبارة بناءً على ثقافة اللهجة السعودية.
السؤال: ماذا تعكس عبارة 'تراك فاتح دكان' عن المجتمع السعودي؟
الخيارات:
أ) عادات البهجة والتجمع
ب) عدم الاحترام
ج) الانتباه للتفاصيل
د) حب السخرية",ج
تسبدي,تقال للشخص الاخر لوصف اعلى درجات المحبة وتعني : الكبد,Central,"المهمة: فسر معنى كلمة 'تسبدي' في الثقافة السعودية.
السؤال: كيف تعكس كلمة 'تسبدي' المفاهيم الاجتماعية في الثقافة السعودية؟
الخيارات:
أ) تعبير يدل على العتب
ب) تعبير يعكس الحب والود
ج) تعبير ينطوي على التهديد
د) تعبير عن عدم الاحترام",ب
احلف تستهبل؟,"كلمة تستخدم للتعبير عن الشعور بالدهشة والاستنكار. (درجت بشكل كبير بين فئة الشباب خلال السنوات القليلة الماضية) قد تستخدم أيضا بشكل تهكمي، للتأكيد على ""نقطة واضحة"" يحاول الطرف المقابل الاسترسال بشرحها على الرغم من وضوحها.",General,"المهمة: اختر الخيار الذي يُعبر عن الثقافة السعودية بفهم كلمة 'تستهبل؟'.
السؤال: ما هو التفسير الثقافي لاستخدام 'تستهبل؟' بين الشباب؟
الخيارات:
أ) تعبير عن الفخر بالمكانة الاجتماعية
ب) طريقة غير رسمية للتعبير عن الدهشة
ج) تعبير عن الولاء للقبيلة
د) كل ما سبق",ب
هلا بالطش والرش,عبارة ترحيبية,Central,"المهمة: اشرح المفهوم الثقافي لعبارة (هلا بالطش والرش).
السؤال: ماذا تعكس عبارة (هلا بالطش والرش) في الثقافة السعودية؟
الخيارات:
أ) التحذير من الفوضى
ب) الكرم وحسن الاستقبال
ج) الاستعجال في الحديث
د) السخرية من الضيف",ب
تسوق امها يافقي,هل تستهبل علي ايه الغبي؟,Western,"المهمة: فهم المعنى الثقافي للعبارة.
السؤال: ماذا تبرز العبارة 'تسوق امها يافقي' من الثقافة الحجازية؟
الخيارات:
أ) روح الدعابة
ب) الاحترام
ج) التركيز على العمل
د) الجدية",أ
فيان شتروح,تعني إين ستذهب باللهجه الجيزانية,Southern,"المهمة: اشرح المفهوم الثقافي لعبارة (فيان شتروح).
السؤال: ماذا تعكس عبارة (فيان شتروح) في السياق الاجتماعي؟
الخيارات:
أ) أسلوب رسمي في الاستفهام
ب) طريقة ودّية لهجية للسؤال عن الوجهة
ج) توبيخ مباشر
د) أمر بالمغادرة",ب
تكانه,والتكانه هو الشخص الذي يعتمد عليه,Eastern,"المهمة: حدد ما تعنيه 'تكانه' في السياق السعودي.
السؤال: ما هي الدلالة الثقافية لكلمة 'تكانه'؟
الخيارات:
أ) تشير إلى القدرة على الاعتماد على الآخرين
ب) تعني انعدام الثقة
ج) تشير إلى العزلة الاجتماعية
د) تعني النجاح الشخصي",أ
تكرنت معي,يعني عصبت و اخلاقي قفلت,Western,"المهمة: فسر معنى العبارة 'تكرنت معي' في الثقافة السعودية.
السؤال: ما هو المعنى الثقافي لعبارة 'تكرنت معي'؟
الخيارات:
أ) تعبر عن الفرح
ب) تدل على العصبية والإحباط
ج) تشير إلى أخلاق عالية
د) تعني عدم المبالاة",ب
أكل ومرعى وقلة صنعه,وصف حال الكسلان البليد,Western,"المهمة: فسر المعنى الثقافي للعبارة.
السؤال: ما هو التفسير الثقافي للتعبير 'أكل ومرعى وقلة صنعه' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الكرم والسخاء
ب) تحذير من الكسل وعدم العمل
ج) توصيف الحياة الفلاحية
د) رمز للتقدم والنجاح",ب
هيا طير,اقلب وجهك,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (هيا طير).
السؤال: ماذا تعكس عبارة (هيا طير) في الثقافة المحلية؟
الخيارات:
أ) الترحيب بالضيف
ب) طلب الانصراف أو الابتعاد بطريقة مباشرة
ج) الدعوة للتعاون
د) التعبير عن الاحترام الرسمي",ب
ياكثر هذرُه,كلامه كثير,Central,"المهمة: اشرح المفهوم الثقافي لعبارة (ياكثر هذرُه).
السؤال: ماذا تعبر عبارة (ياكثر هذرُه) في الثقافة الشعبية؟
الخيارات:
أ) الإعجاب بطريقة الكلام
ب) وصف شخص يكثر الكلام بدون فائدة
ج) المدح والثناء
د) التعبير عن الغضب",ب
تهقى,تظن .,Central,"المهمة: حدد الثقافة أو المنطقة التي تُستخدم فيها الكلمة 'تهقى'.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'تهقى' بشكل شائع؟
الخيارات:
أ) نجد
ب) حائل
ج) مكة
د) الشرقية",أ
توتو على كبوتو,كل شي بثمنه ( ماديا ),Western,"المهمة: قم بتفسير العبارة 'توتو على كبوتو' ثقافياً.
السؤال: ما الذي يعكسه استخدام عبارة 'توتو على كبوتو' في الثقافة الحجازية؟
الخيارات:
أ) اهتمام بالمجانية
ب) تقدير للثمن والمقابل
ج) التركيز على الكرم
د) الاعتماد على الهدايا",ب
توق غادي,انظر هناك,Western,"المهمة: حدد التفسير الثقافي للعبارة 'توق غادي'.
السؤال: ما الذي تشير إليه عبارة 'توق غادي' في الثقافة السعودية؟
الخيارات:
أ) تشير إلى القرب
ب) تعني عدم الاهتمام
ج) تدل على الانتباه والوضوح
د) تعني الخروج من المكان",ج
توكل على الله,بعض الاحيان تأتي بمعنى الرفض يعني اذهب وبمعنى طلب الفراق,General,"المهمة: فسر معنى العبارة في السياق الثقافي.
السؤال: ما الذي تعكسه عبارة 'توكل على الله' في الثقافة السعودية؟
الخيارات:
أ) الاعتماد على الجهود الشخصية فقط
ب) الاستسلام للأقدار دون فعل شيء
ج) الجمع بين العمل والتوكل على الله
د) رفض الأمل في المستقبل",ج
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: جاوب على السؤال حول معنى الكلمة في سياق الثقافة.
السؤال: ما الذي تعبر عنه كلمة 'آزى / آزت' في الثقافة النجدية؟
الخيارات:
أ) تعبر عن الاكتفاء والتلبية للحاجة
ب) تعبر عن الكسل
ج) تعبر عن الحب
د) تعبر عن السعادة",أ
تيجي معي,اذهب معي,Central,"المهمة: اشرح معنى استخدام 'تيجي معي' في الثقافة السعودية.
السؤال: ما الذي تشير إليه عبارة 'تيجي معي' في السياق الثقافي السعودي؟
الخيارات:
أ) دعوة للزيارة أو المشاركة
ب) تمني للابتعاد
ج) طلب عدم الانضمام
د) تأجيل الاجتماع",أ
جاعص,تعني الشخص الصَّلِف ؛ المتكبر المتعجرف.,Western,"المهمة: تفسير المعنى الثقافي لكلمة 'جاعص'.
السؤال: كيف تعكس كلمة 'جاعص' القيم الثقافية في المجتمع السعودي؟
الخيارات:
أ) تدل على الحب والاحترام
ب) تعكس عيباً في الشخصية
ج) توضح المحبة بين الأهل
د) تعبر عن الطموح في الحياة",ب
جاك العلم,"يتخدم مصطلح "" جاك العلم "" للدلاله على ايصال معلومة ما أو خبر هام واخلاء مسئولية قائلها من اي تبعات اخرى تترتب على عدم اتباع ما ورد في الخبر او المعلومة.",General,"المهمة: اختر التفسير الصحيح للعبارة في سياق الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لعبارة 'جاك العلم' في المجتمع السعودي؟
الخيارات:
أ) تشير لفرحة وسعادة
ب) تدل على حدوث خطأ
ج) تُستخدم لتقديم معلومات مهمة وتجنب المسؤولية
د) تعبر عن التحذير من خطر",ج
جبتلي الصمرقع,الصمرقع عبارة عن مرض يصيب الإنسان و تنتج عنه حالة من الجنون. و معنى جبتلّي الصمرقع: قد أصبتني بالجنون.,Southern,"المهمة: اشرح معنى العبارة 'جبتلي الصمرقع' في الثقافة السعودية.
السؤال: ما الذي تعكسه عبارة 'جبتلي الصمرقع' عن العواطف في الثقافة السعودية؟
الخيارات:
أ) تدل على الفرح والسعادة
ب) تشير إلى حالة من الجنون بسبب موقف محبط
ج) تعبر عن طلب المساعدة
د) تعني التأمل في الأمور الجادة",ب
جحفلك جحفله قوية,قلب الطاولة في اللحظات الأخيرة,Western,"المهمة: اشرح المفهوم الثقافي لعبارة (جحفلك جحفله قوية).
السؤال: ماذا تعكس عبارة (جحفلك جحفله قوية) في الاستخدام الشعبي؟
الخيارات:
أ) التراجع عن قرار سابق
ب) قلب الوضع أو النتيجة بشكل مفاجئ في آخر لحظة
ج) التأجيل المتعمد
د) الاتفاق النهائي",ب
بدري عليك,"التحدي والاستصغار مثال إذا قال لك شخص: ""بهزمك في اللعبة""، ترد عليه: ""بدري عليك!""",General,"المهمة: اشرح المفهوم الثقافي لعبارة (بدري عليك).
السؤال: ماذا تعكس عبارة (بدري عليك) في الثقافة السعودية؟
الخيارات:
أ) الاعتذار والندم
ب) التحدي والاستخفاف بقدرة الطرف الآخر
ج) الاحترام والتقدير
د) طلب المساعدة",ب
جد الله عليك,جد الله عليك كثر الله خيرك ع العزمه,General,"المهمة: وضح المعنى الثقافي لعبارة 'جد الله عليك'.
السؤال: ما الذي تعبر عنه العبارة 'جد الله عليك' من الناحية الثقافية?
الخيارات:
أ) الاحترام والتقدير
ب) عدم الاهتمام
ج) السخرية
د) الفرح الشديد",أ
جدة كذا إتي وبحر,عبارة تطلق لكبير جدة الإتحاد . (إتي) إختصار لكلمة الإتحاد,Western,"المهمة: فسّر العبارة في سياق ثقافي.
السؤال: ماذا تعكس عبارة 'جدة إتي وبحر' من الناحية الثقافية؟
الخيارات:
أ) تعبر عن الفخر بالنجاح الرياضي في جدة.
ب) تشير إلى أهمية الرياضة في المجتمع السعودي.
ج) تدل على التقاليد البحرية في جدة.
د) تعكس نمط الحياة في منطقة معينة.",أ
جدة كذا اهلي وبحر .,جدة كذا اهلي وبحر معناها ان نادي الحجاز هو الاهلي,Western,"المهمة: فسر العبارة من منظور ثقافي.
السؤال: لماذا تعتبر عبارة 'جدة كذا اهلي وبحر' تعبيرًا ثقافيًا مميزًا؟
الخيارات:
أ) لأنها تعبر عن الحياة الليلية في جدة.
ب) لأنها توضح الفخر المحلي في كرة القدم.
ج) لأنها تشير إلى طبيعة الطقس في جدة.
د) لأنها تتحدث عن أسواق جدة.",ب
جعلك السلطة,تعني بأن يبتليك الله بمصيبة، تشغلك عن أذيتي,Northern,"المهمة: وضح ماذا تعني العبارة 'جعلك السلطة' في الثقافة السعودية.
السؤال: ماذا تعبر عبارة 'جعلك السلطة' في الثقافة? 
الخيارات:
أ) تعتبر من العبارات الإيجابية
ب) تعكس معاناة الأشخاص
ج) تستخدم في المجاملات
د) تدل على القوة والشجاعة",ب
جعلنا ما نطرك,دعاء ان لا يصل بنا الحال الى ان نطرّك (نتشحذ منك). تقال لمن تطلب منه شي ويقدم لك القليل رغم قدرته على ان يعطيك اكثر. مثال: طلبت من ابنك يأتي لك بكأس ماء، الابن عبأ ربع الكأس بالماء فقط هنا تقول له جعلنا ما نطرك يا ولدي ليش ما عبيت الكأس كامل,Eastern,"المهمة: اشرح المعنى الثقافي لعبارة 'جعلنا ما نطرك'.
السؤال: ما هي القيمة الثقافية لقول 'جعلنا ما نطرك' في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الاعتماد على النفس والتقشف
ب) تدل على الكرم والسخاء
ج) تشير إلى عدم الرغبة في المساعدة
د) تبرز أهمية العلاقات الاجتماعية والمشاركة",د
جيف الباب,كلمة حجازية وتعني أجعل الباب قريب الإغلاق لكن لا تغلقه تماما أترك مسافة بسيطة,Western,"المهمة: فسر ما تعنيه كلمة 'جيف الباب' من الناحية الثقافية.
السؤال: ما الدلالة الثقافية لاستخدام 'جيف الباب' في الكلام الحجازي؟
الخيارات:
أ) تشير إلى العجلة في الإغلاق
ب) تعكس العادات للحفاظ على التواصل مع الآخرين
ج) تدل على عدم رغبة في الإغلاق
د) تعكس الخوف من الفتحة",ب
محزم المليان,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,Southern,"المهمة: تفسير المصطلح 'محزم المليان' في الثقافة السعودية.
السؤال: ما هو الدلالة الثقافية لعبارة 'محزم المليان في المجتمع السعودي؟
الخيارات:
أ) تعني الضعف
ب) تدل على القوة والاعتماد
ج) تشير إلى الفوضى
د) تعني عدم الاستقرار",ب
حام التسبد,حام التسبد: تعني اقرف أو ازعج، أو ضجر أو سئم! ملاحظة: التسبد تعني الكبد. فأهل نجد ينطقون الكاف ب(تس). الكبد = التسبد,Central,"المهمة: فسر استخدام مصطلح 'حام التسبد' في الثقافة السعودية.
السؤال: ما الذي يعبر عنه مصطلح 'حام التسبد' بين أهل نجد؟
الخيارات:
أ) التسلية والمرح
ب) القلق والضجر
ج) الاحترام والمودة
د) الحزن والأسى
الإجابة الصحيحة:",
حامت كبدي,"وهي عبارة يقصد فيها التعبير عن الشعور بالضيق من أمر ما أو كلام ما، وقد تعني التقزز. هي مشهورة في نجد في السعودية، وأيضا معروفة ب ""حامت تسبدي"" هناك صيغ أخرى لهذه العبارة: حامت كبدي / حامت تسبدي يحوم الكبد / يحوم التسبد",Central,"المهمة: تفسير العبارة 'حامت كبدي' في السياق الثقافي السعودي.
السؤال: ما هي دلالة عبارة 'حامت كبدي' في الثقافة النجدية؟
الخيارات:
أ) تعبير عن الحب
ب) تعبير عن شعور بالضيق
ج) تعبير عن الفخر
د) تعبير عن السعادة",ب
فرقاك عيد,تعني الذي وجوده مصدر إزعاج أو ضيق ، وأن غيابه أو رحيله (فراقه) هو بمثابة مناسبة سعيدة أو يوم عيد,General,"المهمة: فسر العبارة من الناحية الثقافية.
السؤال: لماذا تُستخدم عبارة ""فرقاك عيد"" في الثقافة السعودية؟
الخيارات:
أ) للتعبير عن مشاعر حب وشوق
ب) للتعبير عن الفرح بابتعاد شخص مزعج
ج) للمدح والثناء على الأصدقاء
د) للتفاخر بالشخص الغائب",ب
حتى الميت فسى,تُقال عند تمثيل برجل انه بارد .,Western,"المهمة: حدد ما تشير إليه العبارة في الثقافة السعودية.
السؤال: ما الذي تعبر عنه عبارة 'حتى الميت فسى' في الثقافة السعودية؟
الخيارات:
أ) روح الدعابة.
ب) الغضب.
ج) النشاط.
د) الاسترخاء.",أ
