Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
والله أنك بلشة,بلشة بمعنى الشخص العلة الي ينشب فحلقك ويطفشك,Western,"المهمة: حدد الموقع الذي يُستخدم فيه هذا المصطلح.
السؤال: في أي منطقة سعودية يستخدم مصطلح 'والله أنك بلشة' بشكل رئيسي؟
الخيارات:
أ) المدينة المنورة
ب) جدة
ج) الرياض
د) الدمام",ب
بوه مير نايم,كلمه او عباره مشهوره يستخدمها القصمان الي هم اهل منطقة القصيم اولا به تنطق بوه ولي هي تعني موجود مير يعني لكن نايم تنطق نيم ول هي نائم,Central,"المهمة: حدد أين يتم استخدام عبارة 'بوه مير نايم' بشكل أكثر شيوعاً.
السؤال: أي منطقة في السعودية تُستخدم فيها عبارة 'بوه مير نايم' بشكل شائع؟
الخيارات:
أ) القصيم
ب) الرياض
ج) جدة
د) الدمام",أ
بيّض الله وجهك,للثناء والشكر والرد عليها يكون ووجهك أبيض,General,"المهمة: حدد الموقع الأكثر شيوعًا لاستخدام هذه العبارة.
السؤال: في أي دولة تُستخدم العبارة 'بيّض الله وجهك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
تبطي عظم,تعني من المستحيل ان تفعل هذا الشيء,General,"المهمة: حدد الدولة التي غالبًا ما يستخدم فيها المصطلح 'تبطي عظم'.
السؤال: في أي دولة يُستخدم المصطلح 'تبطي عظم' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
تبه,تبه يعني مصيبة او انا غاضب جدا,Central,"المهمة: أين يُستخدم المصطلح 'تبه' بشكل أكثر شيوعاً؟
السؤال: أي منطقة سعودية تُعرف باستخدام كلمة 'تبه'؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام",أ
تحثل,تحثل التراب عليا,Western,"المهمة: حدد المدينة التي تُستخدم فيها عبارة 'تحثل' بشكل أكثر شيوعاً.
السؤال: في أي مدينة سعودية تستخدم عبارة 'تحثل' بشكل رئيسي?
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) تبوك",أ
تدوكر,تدوكر: لايدري ماذا يصنع,Central,"المهمة: حدد المنطقة أو الدولة التي يُستخدم فيها المصطلح.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'تدوكر' بشكل رئيسي؟
الخيارات:
أ) منطقة الرياض
ب) منطقة القصيم
ج) منطقة المدينة
د) منطقة نجران",ب
تراك فاتح دكان,تقال عن رؤية شق في سروال الغير.,General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح بشكل شائع.
السؤال: أي منطقة في الخليج العربي تستخدم عبارة 'تراك فاتح دكان' بشكل متكرر؟
الخيارات:
أ) الكويت
ب) المملكة العربية السعودية
ج) البحرين
د) الإمارات",ب
تسبدي,تقال للشخص الاخر لوصف اعلى درجات المحبة وتعني : الكبد,Central,"المهمة: حدد الموقع الذي يتم فيه استخدام كلمة 'تسبدي' بشكل رئيسي.
السؤال: في أي منطقة من المملكة العربية السعودية يُكثر استخدام كلمة 'تسبدي'؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل",ج
احلف تستهبل؟,"كلمة تستخدم للتعبير عن الشعور بالدهشة والاستنكار. (درجت بشكل كبير بين فئة الشباب خلال السنوات القليلة الماضية) قد تستخدم أيضا بشكل تهكمي، للتأكيد على ""نقطة واضحة"" يحاول الطرف المقابل الاسترسال بشرحها على الرغم من وضوحها.",General,"المهمة: اختر المنطقة التي تستخدم فيها عبارة 'احلف تستهبل؟' بشكل شائع.
السؤال: أين يُستخدم المصطلح 'احلف تستهبل؟' بشكل أكثر شيوعاً؟
الخيارات:
أ) الكويت
ب) المملكة العربية السعودية
ج) البحرين
د) الإمارات",ب
هلا بالطش والرش,عبارة ترحيبية,Central,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'هلا بالطش والرش' بشكل شائع.
السؤال: أي منطقة في السعودية يُستخدم فيها مصطلح 'هلا بالطش والرش' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل",ج
تسوق امها يافقي,هل تستهبل علي ايه الغبي؟,Western,"المهمة: تحديد المكان الذي يتم استخدام العبارة فيه.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'تسوق امها يافقي' بشكل شائع؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) المدينة المنورة",أ
فيان شتروح,تعني إين ستذهب باللهجه الجيزانية,Southern,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'فيان شتروح' بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'فيان شتروح' بشكل شائع؟
الخيارات:
أ) الدمام
ب) الرياض
ج) جازان
د) المدينة المنورة",ج
تكانه,والتكانه هو الشخص الذي يعتمد عليه,Eastern,"المهمة: حدد أين تُستخدم كلمة 'تكانه' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'تكانه' بشكل أكبر؟
الخيارات:
أ) الشرقية
ب) الوسطى
ج) الغربية
د) الشمالية",أ
تكرنت معي,يعني عصبت و اخلاقي قفلت,Western,"المهمة: حدد المكان الأكثر شيوعًا لاستخدام المصطلح.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'تكرنت معي' بشكل أكثر شيوعًا؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) مكة",ب
أكل ومرعى وقلة صنعه,وصف حال الكسلان البليد,Western,"المهمة: حدد أين تُستخدم العبارة بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية تُستخدم العبارة 'أكل ومرعى وقلة صنعه' بشكل أكبر؟
الخيارات:
أ) جدة
ب) مكة
ج) المدينة المنورة
د) الرياض",ب
هيا طير,اقلب وجهك,Western,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: في أي منطقة سعودية تستخدم عبارة ""هيا طير"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) أبها 
D) الدمام) جدة",B
ياكثر هذرُه,كلامه كثير,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'ياكثر هذرُه' بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'ياكثر هذرُه' بشكل أكثر شيوعاً؟
الخيارات:
أ) الوسطى
ب) الجنوب
ج) الشرقية
د) الغربية",أ
تهقى,تظن .,Central,"المهمة: حدد المكان الذي يرتبط به المصطلح 'تهقى'.
السؤال: أي مدينة سعودية يستخدم فيها المصطلح 'تهقى' أكثر؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) القصيم",أ
توتو على كبوتو,كل شي بثمنه ( ماديا ),Western,"المهمة: حدد المدينة أو المنطقة التي ترتبط بها العبارة 'توتو على كبوتو'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'توتو على كبوتو' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
توق غادي,انظر هناك,Western,"المهمة: حدد أين يُستخدم المصطلح 'توق غادي' بشكل أكثر شيوعاً.
السؤال: أين يُستخدم المصطلح 'توق غادي' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) مكة
ج) الرياض
د) الدمام",أ
توكل على الله,بعض الاحيان تأتي بمعنى الرفض يعني اذهب وبمعنى طلب الفراق,General,"المهمة: حدد المكان الأكثر شيوعاً لاستخدام عبارة 'توكل على الله'.
السؤال: في أي دولة تستخدم عبارة 'توكل على الله' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
آزى / آزت,بمعنى كفى وسد الحاجة او كفت,Central,"المهمة: حدد المنطقة الأكثر استخدامًا للمصطلح.
السؤال: أين يُستخدم المصطلح 'آزى / آزت' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
تيجي معي,اذهب معي,Central,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: أين تستخدم عبارة ""تيجي معي"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) المنامة 
C) دبي 
D) الكويت",A
جاعص,تعني الشخص الصَّلِف ؛ المتكبر المتعجرف.,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'جاعص' بشكل أكبر.
السؤال: في أي منطقة سعودية يُعتبر مصطلح 'جاعص' شائع الاستخدام؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) مكة",ب
جاك العلم,"يتخدم مصطلح "" جاك العلم "" للدلاله على ايصال معلومة ما أو خبر هام واخلاء مسئولية قائلها من اي تبعات اخرى تترتب على عدم اتباع ما ورد في الخبر او المعلومة.",General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح بشكل رئيسي.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'جاك العلم' بشكل أكثر شيوعاً؟
الخيارات:
أ) البحرين  
ب) الكويت
ج) الإمارات
د) المملكة العربية السعودية",د
جبتلي الصمرقع,الصمرقع عبارة عن مرض يصيب الإنسان و تنتج عنه حالة من الجنون. و معنى جبتلّي الصمرقع: قد أصبتني بالجنون.,Southern,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'جبتلي الصمرقع' بشكل رئيسي.
السؤال: وفي أي منطقة من المملكة يُستخدم المصطلح 'جبتلي الصمرقع' بشكل شائع؟
الخيارات:
أ) الشرقية
ب) الجنوب
ج) الوسطى
د) الغرب",ب
جحفلك جحفله قوية,قلب الطاولة في اللحظات الأخيرة,Western,"المهمة: حدد المنطقة التي يُعتبر استخدامها فيها شائعاً.
السؤال: أين تُستخدم عبارة'جحفلك جحفله قوية' بشكل أكثر شيوعاً؟
الخيارات:
أ) الغربية
ب) الشمال
ج) الجنوب
د) الدمام",أ
بدري عليك,"التحدي والاستصغار مثال إذا قال لك شخص: ""بهزمك في اللعبة""، ترد عليه: ""بدري عليك!""",General,"المهمة: حدد المنطقة التي يُستخدم بها المصطلح بشكل أساسي.
السؤال: أي دولة تستخدم المصطلح 'بدري عليك' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
جد الله عليك,جد الله عليك كثر الله خيرك ع العزمه,General,"المهمة: حدد أين يُستخدم المصطلح 'جد الله عليك' بشكل رئيسي.
السؤال: أي منطقة في المملكة العربية السعودية تُستخدم فيها عبارة 'جد الله عليك' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
جدة كذا إتي وبحر,عبارة تطلق لكبير جدة الإتحاد . (إتي) إختصار لكلمة الإتحاد,Western,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: أين تُستخدم عبارة ""جدة كذا إتي وبحر"" بشكل شائع؟
الخيارات: 
A) الرياض 
B) جدة 
C) أبها 
D) حائل 
الجواب الصحيح: B (جدة)",
جدة كذا اهلي وبحر .,جدة كذا اهلي وبحر معناها ان نادي الحجاز هو الاهلي,Western,"المهمة: حدد الموقع الأفضل للاستخدام الشائع للعبارة.
السؤال: في أي مدينة سعودية يُستخدم المصطلح 'جدة كذا اهلي وبحر' بشكل أكثر شيوعًا؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",ب
جعلك السلطة,تعني بأن يبتليك الله بمصيبة، تشغلك عن أذيتي,Northern,"المهمة: حدد المكان الذي يُستخدم فيه التعبير 'جعلك السلطة' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'جعلك السلطة' بشكل شائع؟
الخيارات:
أ) الرياض
ب) حائل
ج) مكة
د) الدمام",ب
جعلنا ما نطرك,دعاء ان لا يصل بنا الحال الى ان نطرّك (نتشحذ منك). تقال لمن تطلب منه شي ويقدم لك القليل رغم قدرته على ان يعطيك اكثر. مثال: طلبت من ابنك يأتي لك بكأس ماء، الابن عبأ ربع الكأس بالماء فقط هنا تقول له جعلنا ما نطرك يا ولدي ليش ما عبيت الكأس كامل,Eastern,"المهمة: حدد الموقع الجغرافي الأكثر شيوعاً المستخدم فيه المصطلح 'جعلنا ما نطرك'.
السؤال: في أي منطقة تُستخدم عبارة 'جعلنا ما نطرك' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) الشرقية
ج) حجاز
د) نجد",ب
جيف الباب,كلمة حجازية وتعني أجعل الباب قريب الإغلاق لكن لا تغلقه تماما أترك مسافة بسيطة,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'جيف الباب' بشكل أكثر شيوعاً.
السؤال: في أي منطقة من مناطق المملكة يتم استخدام المصطلح 'جيف الباب' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",ب
محزم المليان,و هو الشخص الذي تحتزمون به او صديقكم الذي يكون معكم في المصاعب حازم محزم احتزم محزمي الخ,Southern,"المهمة: حدد مكان الاستخدام الشائع لكلمة 'محزم المليان'.
السؤال: في أي دولة تُستخدم كلمة 'محزم المليان' بشكل رئيسي؟
الخيارات:
أ) الشرقية
ب) نجد
ج) الجنوب
د) مكة",ج
حام التسبد,حام التسبد: تعني اقرف أو ازعج، أو ضجر أو سئم! ملاحظة: التسبد تعني الكبد. فأهل نجد ينطقون الكاف ب(تس). الكبد = التسبد,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'حام التسبد' بشكل شائع.
السؤال: في أي منطقة من المملكة العربية السعودية يُستخدم مصطلح 'حام التسبد' بشكل رئيسي؟
الخيارات:
أ) جازان
ب) مكة
ج) نجد
د) جدة",ج
حامت كبدي,"وهي عبارة يقصد فيها التعبير عن الشعور بالضيق من أمر ما أو كلام ما، وقد تعني التقزز. هي مشهورة في نجد في السعودية، وأيضا معروفة ب ""حامت تسبدي"" هناك صيغ أخرى لهذه العبارة: حامت كبدي / حامت تسبدي يحوم الكبد / يحوم التسبد",Central,"المهمة: تحديد المنطقة الأساسية لاستخدام عبارة 'حامت كبدي'.
السؤال: أين يُستخدم المصطلح 'حامت كبدي' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) مكة",أ
فرقاك عيد,تعني الذي وجوده مصدر إزعاج أو ضيق ، وأن غيابه أو رحيله (فراقه) هو بمثابة مناسبة سعيدة أو يوم عيد,General,"المهمة: حدد المنطقة التي تستخدم فيها العبارة بشكل شائع.
السؤال: في أي دولة تُستخدم العبارة 'فرقاك عيد' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) البحرين
ج) الكويت
د) الإمارات",أ
حتى الميت فسى,تُقال عند تمثيل برجل انه بارد .,Western,"المهمة: أين يُستخدم المصطلح 'حتى الميت فسى' بشكل أكثر شيوعاً؟
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'حتى الميت فسى' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الخبر
د) الدمام",ب
ضف وجهك,يعني . ابتعد عني . اغرب عن وجهي .,General,"المهمة: حدد المكان الذي ينتشر فيه هذا التعبير.
السؤال: في أي دولة يُستخدم تعبير 'ضف وجهك' بشكل أساسي؟
الخيارات:
أ) الإمارات
ب) الكويت
ج) البحرين
د) المملكة العربية السعودية",د
حج البقرة على قرونها,من باب تعليق الأمر بالمحال : - حتى / لمّا تحج البقرة على قرونها - لو / إذا حجت البقرة على قرونها يُنظر في كي ينوّر الملح.,General,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: في أي دولة تُستخدم عبارة ""حج البقرة على قرونها""؟ 
الخيارات: 
A) السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
رح اديلو,سوف اعطيه,Western,"المهمة: تحديد المكان الذي يُستخدم فيه المصطلح 'رح اديلو' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'رح اديلو' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
حُق حُق,تستخدم إذا أردت أن تستعير شيئا من أحد وأجابك ب: لا، حقي!,Western,"المهمة: اختر المدينة التي تُستخدم فيها عبارة 'حق حق' بشكل أكثر شيوعاً.
السؤال: أين تستخدم عبارة 'حق حق' بشكل رئيسي؟
الخيارات:
أ) مكة
ب) الرياض
ج) جدة
د) الدمام",ج
حُق صلصة,تدل على المكان الضيق جدا,Western,"المهمة: حدد الموقع الذي تستخدم فيه عبارة 'حُق صلصة' بشكل شائع.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'حُق صلصة' بشكل رئيسي؟
الخيارات:
أ) مكة المكرمة
ب) الرياض
ج) جدة
د) المدينة المنورة",أ
حمار خالو,عندما يكون الشخص يتحرش بشخص قوي لايستطيع أن يجابهه فيتكلم معه باستفزاز حتى يتنرفز,Western,"المهمة: حدد المنطقة التي يُستخدم فيها هذا المصطلح.
السؤال: أي منطقة سعودية يُستخدم فيها مصطلح 'حمار خالو' بشكل شائع؟
الخيارات:
أ) مكة
ب) الرياض
ج) جدة
د) الدمام",أ
حياك الله,عبارة ترحيب,General,"المهمة: حدد المنطقة الأكثر استخدامًا لهذه العبارة.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'حياك الله' بشكل شائع؟
الخيارات:
أ) قطر
ب) الكويت
ج) المملكة العربية السعودية
د) عمان",ج
حيلهم بينهم,"حِيلهم بِينهم ، عبارة تعني ان مشاكلهم بينهم نظراً لتشاركهم في قوة مشتركة ""حيل"" فتكبّدها سيكون بينهم ايضاً",General,"المهمة: حدد المكان الذي تستخدم فيه العبارة 'حيلهم بينهم' بشكل شائع.
السؤال: أين تُستخدم المصطلح 'حيلهم بينهم' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) عمان",أ
خاربة خاربة,تقال وقت المأساة وعدم المبالاة وتعني إذا الموضوع فقد الأمل منه إذاً ليس علي أن اهتم أو أعمل شيء لأن الموضوع سوف يكون معدوم بوجود أو بعدم وجود مجهودي.,General,"المهمة: حدد المكان الذي يمكن أن يُستخدم فيه المصطلح 'خاربة خاربة'.
السؤال: في أي بلد يُستخدم المصطلح 'خاربة خاربة' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) عمان",أ
خاز باز,الخاز باز هذا غير المعروف في الفصحي.هذا في العاميه يعني ((الاشكالات السرية بين شخصين لا يستطيعان الكشف عنها للاخرين )) هذا تقريبي ومختصر والله اعلم,Western,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'خاز باز' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'خاز باز'؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) مكة",أ
خِبْت عليك,تقال عند الاصابة بالإحباط عند عدم تحقيق هدف معيّن أو الخطأ في عمل أمر سهل.,Western,"المهمة: اختر المنطقة التي يستخدم فيها مصطلح 'خِبْت عليك' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'خِبْت عليك' بشكل رئيسي؟
الخيارات:
أ) مكة
ب) الرياض
ج) الدمام
د) جدة",د
خراط مشمش,الكاذب,Central,"المهمة: حدد المنطقة الأكثر شيوعاً لاستخدام عبارة 'خراط مشمش'.
السؤال: أين يُستخدم المصطلح 'خراط مشمش' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) بريدة
د) الدمام",أ
ريحه عطبة,هي مفردة حساويه وتعني ربحه النايلون عندما يحترق مثل اسلاك كهربائية,Eastern,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح بشكل شائع.
السؤال: أين يُستخدم المصطلح 'ريحه عطبة' بشكل أكثر شيوعاً؟
الخيارات:
أ) الأحساء
ب) جدة
ج) الدمام
د) حائل",أ
خِرِّي مِرِّي,بمعنى ذاهب وعائد وتطلق على من كثرت تحركاته وانتقالاته.,Western,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح بشكل رئيسي.
السؤال: في أي منطقة من المملكة تستخدم عبارة 'خِرِّي مِرِّي' بشكل أكثر شيوعاً؟
الخيارات:
أ) المدينة المنورة
ب) الرياض
ج) جازان
د) جدة",د
زكن عليه,اكدعليه,Central,"المهمة: حدد المنطقة الأكثر استخدامًا لعبارة 'زكن عليه'.
السؤال: في أي منطقة سعودية تستخدم عبارة 'زكن عليه' بشكل أكبر؟
الخيارات:
أ) مكة
ب) الرياض
ج) جدة
د) الطائف",ب
طول حسي,طول صوتي فلان تهاوش طول حسه طول صوته,Northern,"المهمة: حدد الموقع الجغرافي للعبارة.
السؤال: أين يُستخدم المصطلح 'طول حسي' بشكل أكثر شيوعاً؟
الخيارات:
أ) الشرقية
ب) الشمال
ج) الجنوب
د) الغرب",ب
خندريس,تقال للشخص الخبيث,Central,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'خندريس' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'خندريس' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) حائل
د) الدمام",ب
خيطي بيطي,الشيء الذي لا معنى له يقال له خيطي بيطي,Western,"المهمة: حدد المكان الذي يستخدم فيه مصطلح 'خيطي بيطي' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'خيطي بيطي' أكثر؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الطائف",ب
اشرب بشويش,اشرب ببطئ,Southern,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'اشرب بشويش' بشكل أكبر.
السؤال: في أي من المناطق التالية يُستخدم المصطلح 'اشرب بشويش' بشكل رئيسي؟
الخيارات:
أ) الشمال
ب) الغرب
ج) الجنوب
د) المدينة المنورة",ج
قلبت كبدي, أضجرتني ورفعت ضغطي,Southern,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: في أي منطقة سعودية تُعتبر عبارة ""قلبت كبدي"" شائعة الاستخدام؟ 
الخيارات: 
A) الوسطى 
B) الغرب
C) الجنوب
D) حائل",C
دبو جف نحرك,يعني الجن يدخلون في حلقك,Southern,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
 السؤال: في أي منطقة سعودية تستخدم عبارة ""دبو جف نحرك"" بشكل شائع؟ 
 الخيارات: 
 A) الجنوب 
 B) الشرق
 C) نجد
 D) الحجاز",A
دجاجةٍ صقعه,اختلف في اصل الكلمة لكن تتداول بين أهل نجد للإشارة إلى غباء أحدهم.,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح بشكل شائع.
السؤال: في أي منطقة من السعودية يُستخدم المصطلح 'دجاجةٍ صقعه' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) نجد",د
أقلزز,ويعني انا افهم,Central,"المهمة: حدد المنطقة التي يرتبط بها استخدام كلمة 'أقلزز' بشكل رئيسي.
السؤال: أين تُستخدم كلمة 'أقلزز' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) مكة",أ
عاش من شافك,يعيش من رآك,Central,"المهمة: أين يُستخدم المصطلح 'عاش من شافك' بشكل أكثر شيوعًا؟
السؤال: أي منطقة سعودية تستخدم هذه العبارة بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) ابها",أ
أًفْلِح,أًفْلِح : أي بمعنى سوف أذهب .!,Central,"المهمة: حدد المنطقة التي تستخدم فيها 
السؤال: أي منطقة في السعودية تُستخدم فيها كلمة 'أًفْلِح' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) القصيم",أ
دخلو في شدقك,هي كلمه تقال للدعاء على أحد ما بدخول الجن في فمه,Southern,"المهمة: حدد المكان الذي تستخدم فيه العبارة بشكل شائع.
السؤال: في أي المناطق تُستخدم عبارة 'دخلو في شدقك' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) أبها
د) حائل",ج
دخلوا في نحرك,"((دخلو في نحرك)). كلمة جنووبيةة بمعنى:فليدخلوا في نحرك بعضُ من الجن وتستخدم عند الغضب من الشخص ||كمثل إستخدام || ""سبعة شلوك"" وإسم الإشارة للغائب: دخلووا في نحره وهناك من يضيف عليها بعض الكلمات مثل ((دخلو في نحرك برجلي)) أو برجل فلان وفلان.",Southern,"المهمة: حدد أين تستخدم العبارة بشكل أكثر شيوعاً.
السؤال: في أي منطقة من السعودية تستخدم عبارة 'دخلوا في نحرك' بشكل رئيسي؟
الخيارات:
أ) الشمال
ب) الغرب
ج) الجنوب
د) الوسطى",ج
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: حدد الموقع الجغرافي للمصطلح 'عاقد النونه'.
السؤال: في أي منطقة من المملكة العربية السعودية يُستخدم المصطلح 'عاقد النونه' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام
الإجابة الصحيحة:",
أنت درو,يعني غبي,Central,"المهمة: اختر المدينة التي تستخدم فيها عبارة 'أنت درو' بشكل أكبر.
السؤال: في أي مدينة سعودية يُستخدم المصطلح 'أنت درو' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام",أ
دروإييت,خذ دوره وارجع الينا,Central,"المهمة: حدد المدينة التي يمكن أن يستخدم فيها المصطلح 'دروإييت' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'دروإييت' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
دفه,ادفعه,Central,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.
 السؤال: في أي منطقة تُستخدم عبارة ""دفه"" بشكل شائع؟
 الاختيارات: 
 A) الرياض 
 B) جده 
 C) الكويت 
 D) دبي",A
دق الولد,"والبعض يقول ""ولِّد"" وهي طريقة عادلة لتحديد من سيقوم باللعب في لعبة البلوت الشعبية وذلك عن طريق توزيع الورق مكشوفاً امام الجميع ما بين الشخصين المراد الاختيار ما بينهما(او اكثر ) والشخص الذي يظهر له اول ولد اوJack يكون له الاحقية باللعب .",General,"المهمة: تحديد المكان الذي يستخدم فيه هذا المصطلح.
السؤال: أي دولة تستخدم المصطلح 'دق الولد' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) الكويت
د) البحرين",أ
علام دينك,كلمة تقال في منطقة تبوك بمعنى ماذا بك؟ اخبرني ماذا بك؟ هل انت على ما يرام؟ وهي تأتي كأسلوب وقح، مثلًا شخص صدم سيارتك تخرج من سيارتك و تقول: علام دينك! أو: علام دين دين دينك!,Northern,"المهمة: حدد المنطقة التي تُستخدم فيها العبارة.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'علام دينك' بشكل شائع؟
الخيارات:
أ) الرياض
ب) مكة
ج) تبوك
د) جدة",ج
دلك النحاس,"دلك من التدليك النحاس وهو الصحون و الاواني المطبخية فزمان كان الاواني من نحاس, فبعد الاستعمال من الاكل و الطبيخ نقول: دلك النحاس, بمعنى اغسل الصحون وما الى ذلك من الاواني المطبخية",Western,"المهمة: حدد المكان الأكثر استخدامًا لعبارة 'دلك النحاس'.
السؤال: في أي منطقة من المملكة العربية السعودية يُستخدم مصطلح 'دلك النحاس' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
